english,basque,context
antimicrobial resistance,antimikrobianoekiko erresistentzia,Medical Sciences > Microbiology
area,area,Physics > Electro-magnetism
area,gune,Medical Sciences > Pharmacology
area,azalera,Technological Sciences > Projects
area, eremu,Technological Sciences > Projects
area, esparru,Technological Sciences > Projects
area, gune,Technological Sciences > Projects
area,azalera,Technological Sciences > Construction technology
area,azalera,Technological Sciences > Industrial technology
area,azalera,Mathematics > Statistics
area,azalera,Mathematics > Analysis and functional analysis
armature,armadura,Technological Sciences > Electrical technology and engineering
armature, induzitu,Technological Sciences > Electrical technology and engineering
armature,armadura,Physics > Electro-magnetism
armature,induzitu,Physics > Aplied Physics
arterial pressure,tentsio arterial,Medical Sciences > Pharmacology
arterial pressure,arteria-presio,Life sciences > Animal Biology
assembly,multzo,Technological Sciences > Mechanical engineering and technology
assembly,muntaketa,Technological Sciences > Industrial technology
assembly,mihiztadura,Economic Sciences > Organization and management of enterprises
assembly, muntaketa,Economic Sciences > Organization and management of enterprises
assembly,muntaia,Technological Sciences > Projects
assembly,mihiztadura,Technological Sciences > Computer technology
assembly, mihiztaketa,Technological Sciences > Computer technology
assembly, mihiztatze,Technological Sciences > Computer technology
assertion,baieztapen,Mathematics > Analysis and functional analysis
assertion,baieztapen,Mathematics > Statistics
assertion,asertzio,Technological Sciences > Computer technology
assessment,balioespen,Technological Sciences > Environmental technology and engineering
assessment, balioztapen,Technological Sciences > Environmental technology and engineering
assessment, balorazio,Technological Sciences > Environmental technology and engineering
assessment, ebaluazio,Technological Sciences > Environmental technology and engineering
assessment,ebaluazio,Technological Sciences > Projects
assessment,zehaztapen,Medical Sciences > Pharmaceutical Technology
assessment,ebaluaketa,Medical Sciences > Pharmacology
average,batezbesteko,Physics > Aplied Physics
average,batezbesteko,Physics > Electro-magnetism
average,batez besteko,Medical Sciences > Pharmaceutical Technology
average,batezbesteko,Technological Sciences > Construction technology
average,batezbesteko,Mathematics > Analysis and functional analysis
average,batezbesteko,Technological Sciences > Environmental technology and engineering
average residence time,batez besteko egote-denbora,Technological Sciences > Environmental technology and engineering
average residence time,batez besteko egoitza-denbora,Earth and Space Sciences > Metereology and Oceanography
axial plane,plano axial,Earth and Space Sciences > Geology
axial plane,mozketa axial,Medical Sciences > Medical diagnostic and Treatment Technology
balance,balantza,Medical Sciences > Pharmaceutical Technology
balance,saldo,Economic Sciences > Organization and management of enterprises
balance,saldo,Economic Sciences > General economics
balance,balantza,Physics > Fluids (physics of)
balance,balantze,Technological Sciences > Environmental technology and engineering
balance, balantza,Technological Sciences > Environmental technology and engineering
balance,balantza,Chemistry > Physical chemistry
balance,balantza,Technological Sciences > Food technology
basement,soto,Technological Sciences > Projects
basement,basamentu,Earth and Space Sciences > Geology
basement, zokalo,Earth and Space Sciences > Geology
batch,lote,Economic Sciences > Organization and management of enterprises
batch, sorta,Economic Sciences > Organization and management of enterprises
batch,partida,Technological Sciences > Projects
batch,sorta,Medical Sciences > Nutritional sciences
batch,lote,Medical Sciences > Pharmaceutical Technology
bay,posizio,Technological Sciences > Electrical technology and engineering
bay,bao,Technological Sciences > Mechanical engineering and technology
beam,sorta,Medical Sciences > Medical diagnostic and Treatment Technology
beam,habe,Technological Sciences > Construction technology
beam,izpi,Medical Sciences > Pharmaceutical Technology
beam,habe,Technological Sciences > Mechanical engineering and technology
bearing,berme,Technological Sciences > Construction technology
bearing, euskarri,Technological Sciences > Construction technology
bearing, lotura,Technological Sciences > Construction technology
bearing, sostengu-elementu,Technological Sciences > Construction technology
bearing,kojinete,Technological Sciences > Mechanical engineering and technology
bearing,kojinete,Technological Sciences > Electrical technology and engineering
bend,ukondo,Technological Sciences > Environmental technology and engineering
bend,ukondotu,Technological Sciences > Mechanical engineering and technology
bias,alborapen,Mathematics > Statistics
bias,polarizazio,Technological Sciences > Electronic technology
bias,alborapen,Economic Sciences > Econometrics
bias,alborapen,Life sciences > Biochemistry and Molecular Biology
bicarbonate,bikarbonato,Chemistry > Analytical chemistry
bicarbonate,bikarbonato ioi,Life sciences > Human physiology
bicarbonate,bikarbonato,Technological Sciences > Environmental technology and engineering
bicarbonate,bikarbonato,Medical Sciences > Pharmaceutical Technology
bioreactor,bioerreaktore,Technological Sciences > Environmental technology and engineering
bioreactor, erreaktore biologiko,Technological Sciences > Environmental technology and engineering
bioreactor,hartzitzaile,Medical Sciences > Microbiology
blade,xafla,Medical Sciences > Pharmaceutical Technology
blade,aihotz,Life sciences > Cell biology
blade, mikrotomoaren aihotz,Life sciences > Cell biology
blade, mozketa aihotz,Life sciences > Cell biology
blade,alabe,Physics > Fluids (physics of)
block,bloke,Technological Sciences > Construction technology
block,bloke,Earth and Space Sciences > Geology
block,altxagarri,Technological Sciences > Mechanical engineering and technology
block,bloke,Technological Sciences > Computer technology
block,bloke,Technological Sciences > Environmental technology and engineering
block,blokeatu,Technological Sciences > Electrical technology and engineering
block,etxe-irla,Technological Sciences > Projects
blood plasma,plasma,Life sciences > Biochemistry and Molecular Biology
blood plasma,odol-plasma,Life sciences > Human physiology
boiling point,irakite-puntu,Chemistry > Physical chemistry
boiling point, irakite-tenperatura,Chemistry > Physical chemistry
boiling point,irakite-puntu,Technological Sciences > Food technology
boiling point,irakite-puntu,Technological Sciences > Environmental technology and engineering
boiling point, irakite-tenperatura,Technological Sciences > Environmental technology and engineering
boiling point,irakite-puntu,Life sciences > Biochemistry and Molecular Biology
boiling point,irakite-puntu,Chemistry > Organic chemistry
boiling point,irakite-tenperatura,Chemistry > Analytical chemistry
boiling point,Irakite-puntu,Medical Sciences > Pharmaceutical Technology
boiling point,irakite-puntu,Technological Sciences > Chemical technology and engineering
boiling point, irakite-tenperatura,Technological Sciences > Chemical technology and engineering
bond,lotura,Technological Sciences > Environmental technology and engineering
bond,lotura,Physics > General Physics specialities
bond,bonu,Economic Sciences > Economic theory
bond,bonu,Technological Sciences > Projects
bond,lotura,Physics > Aplied Physics
bond,lotura,Physics > Electro-magnetism
bond,lotura,Technological Sciences > Electronic technology
bond,lotura,Chemistry > Analytical chemistry
bond,bonu,Economic Sciences > General economics
bottom,hondo,Technological Sciences > Environmental technology and engineering
bottom,hondo,Physics > Fluids (physics of)
bottom,hondo,Earth and Space Sciences > Metereology and Oceanography
bottom,oin,Earth and Space Sciences > Geology
box,ontzi,Medical Sciences > Pharmacology
box,kutxa,Life sciences > Biochemistry and Molecular Biology
brain,burmuin,Life sciences > Animal Biology
brain, zerebro,Life sciences > Animal Biology
brain,zerebro,Life sciences > Cell biology
brain,entzefalo,Life sciences > Human physiology
brain,garun,Medical Sciences > Pharmacology
break,apurketa,Technological Sciences > Construction technology
break, haustura,Technological Sciences > Construction technology
break,haustura,Technological Sciences > Industrial technology
break,atsedenaldi,Economic Sciences > Organization and management of enterprises
break,haustura,Technological Sciences > Environmental technology and engineering
break, zartadura,Technological Sciences > Environmental technology and engineering
break line,sigi-sagako lerro,Technological Sciences > Industrial technology
break line,lerro hautsi,Technological Sciences > Mechanical engineering and technology
breakdown,haustura,Technological Sciences > Electronic technology
breakdown,elektroi-olde,Technological Sciences > Electrical technology and engineering
breaking,etendura,Technological Sciences > Electrical technology and engineering
breaking, balaztatze,Technological Sciences > Electrical technology and engineering
breaking,haustura,Medical Sciences > Pharmaceutical Technology
brightness,argitasun,Medical Sciences > Medical diagnostic and Treatment Technology
brightness,distira,Technological Sciences > Environmental technology and engineering
budget line,aurrekontu-lerro,Economic Sciences > Economic theory
budget line, aurrekontu-zuzen,Economic Sciences > Economic theory
budget line,balantze-zuzen,Economic Sciences > General economics
buffer,indargetzaile,Technological Sciences > Environmental technology and engineering
buffer, tanpoi,Technological Sciences > Environmental technology and engineering
buffer,arnasbide,Economic Sciences > Organization and management of enterprises
buffer, buffer,Economic Sciences > Organization and management of enterprises
buffer,indargetzaile,Medical Sciences > Pharmaceutical Technology
buffer,buffer,Technological Sciences > Instrumentation technology
buffer, tarteko memoria,Technological Sciences > Instrumentation technology
buffer,indargetzaile,Chemistry > Organic chemistry
buffer,buffer,Technological Sciences > Computer technology
buffer, tarteko memoria,Technological Sciences > Computer technology
buffer,indargetzaile,Chemistry > Analytical chemistry
buffer,soluzio indargetzaile,Life sciences > Microbiology
buffer,buffer,Technological Sciences > Projects
buffer,indargetzaile,Life sciences > Human physiology
buffer solution,disoluzio indargetzaile,Medical Sciences > Pharmaceutical Technology
buffer solution,disoluzio indargetzaile,Chemistry > Analytical chemistry
buffer solution,soluzio indargetzaile,Life sciences > Microbiology
buffer solution,soluzio indargetzaile,Life sciences > Biochemistry and Molecular Biology
buffer solution,erreguladore,Chemistry > Physical chemistry
buffer solution,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
building,eraikuntza,Technological Sciences > Construction technology
building,eraikin,Technological Sciences > Projects
building, eraikuntza,Technological Sciences > Projects
building,eraikin,Technological Sciences > Urban planning
buoyancy,bultzada,Physics > General Physics specialities
buoyancy,bultzada,Physics > Aplied Physics
buoyancy,goranzko bultzada,Physics > Fluids (physics of)
burn,erredura,Medical Sciences > Pharmacology
burn,erre,Technological Sciences > Chemical technology and engineering
bushing,abatz,Technological Sciences > Electrical technology and engineering
bushing, gurpegi,Technological Sciences > Electrical technology and engineering
bushing,zorro,Technological Sciences > Mechanical engineering and technology
buttress,buttress,Earth and Space Sciences > Geology
buttress,horma-bular,Technological Sciences > Construction technology
buttress, kontrahorma,Technological Sciences > Construction technology
calibration curve,kalibrazio-kurba,Chemistry > Physical chemistry
calibration curve,kalibrazio-zuzen,Life sciences > Biochemistry and Molecular Biology
calibration curve, patroi-zuzen,Life sciences > Biochemistry and Molecular Biology
calibration curve,kalibrazio-kurba,Chemistry > Analytical chemistry
candidate solution,soluziogai,Mathematics > Operations research
candidate solution,soluzio egingarri,Mathematics > Analysis and functional analysis
carrier,gizaki eramaile,Medical Sciences > Public health
carrier,eramaile,Physics > Electro-magnetism
carrier, karga-eramaile,Physics > Electro-magnetism
carrier,eramaile,Medical Sciences > Microbiology
carrier,garraiatzaile,Life sciences > Biochemistry and Molecular Biology
carrier,eramaile,Technological Sciences > Telecommunications technology
carrier, seinale eramaile,Technological Sciences > Telecommunications technology
carrier,eramaile,Technological Sciences > Electronic technology
carrier, karga-eramaile,Technological Sciences > Electronic technology
carrier,garraiatzaile,Life sciences > Animal Biology
casting,galdaketa,Technological Sciences > Environmental technology and engineering
casting,casting,Technological Sciences > Computer technology
casting, mota-bihurketa,Technological Sciences > Computer technology
cavity,barrunbe,Physics > Electro-magnetism
cavity,barrunbe,Medical Sciences > Pharmaceutical Technology
cavity,ahokaleku,Technological Sciences > Mechanical engineering and technology
cavity,barrunbe,Medical Sciences > Medical diagnostic and Treatment Technology
cell,pila,Physics > Electro-magnetism
cell, pila elektrokimiko,Physics > Electro-magnetism
cell, pila voltaiko,Physics > Electro-magnetism
cell,zelula,Medical Sciences > Pharmacology
cell,gela unitate,Technological Sciences > Environmental technology and engineering
cell, gelaxka,Technological Sciences > Environmental technology and engineering
cell,gelaxka,Physics > Thermodynamics
cell,zelula,Life sciences > Microbiology
cell,zelula,Life sciences > Cell biology
cell,zelula,Life sciences > Biochemistry and Molecular Biology
cell,gelaxka,Technological Sciences > Electrical technology and engineering
cell,zelula,Technological Sciences > Telecommunications technology
cell,zelula,Technological Sciences > Instrumentation technology
cell,gelaxka,Chemistry > Physical chemistry
cell, zelula,Chemistry > Physical chemistry
cell, gelaxka galbaniko,Chemistry > Physical chemistry
cell, pila,Chemistry > Physical chemistry
cell,gelaxka,Mathematics > Statistics
cell,zelula,Life sciences > Animal Biology
cell,gelaxka,Technological Sciences > Computer technology
cell layer,geruza zelular,Life sciences > Cell biology
cell layer,zelula-geruza,Technological Sciences > Instrumentation technology
cell layer, zelula-maila,Technological Sciences > Instrumentation technology
cell signaling,zelulen seinalizazio,Life sciences > Biochemistry and Molecular Biology
cell signaling,komunikazio zelular,Life sciences > Cell biology
cement,zementu,Technological Sciences > Environmental technology and engineering
cement,zementatu,Earth and Space Sciences > Geology
char,karaktere,Technological Sciences > Computer technology
char,char,Technological Sciences > Chemical technology and engineering
char, semikoke,Technological Sciences > Chemical technology and engineering
characteristic,ezaugarri,Physics > Electro-magnetism
characteristic, karakteristika,Physics > Electro-magnetism
characteristic,ezaugarri,Technological Sciences > Electronic technology
characteristic,ezaugarri,Technological Sciences > Instrumentation technology
characteristic,ezaugarri-kurba,Technological Sciences > Electrical technology and engineering
charge,karga,Technological Sciences > Environmental technology and engineering
charge, zama,Technological Sciences > Environmental technology and engineering
charge,karga,Chemistry > Physical chemistry
charge,kargatu,Physics > Aplied Physics
charge, karga,Physics > Aplied Physics
charge,karga,Technological Sciences > Electronic technology
charge, karga-prozesu,Technological Sciences > Electronic technology
charge,karga,Physics > Fluids (physics of)
charge,karga,Chemistry > Analytical chemistry
charge,karga,Physics > Electro-magnetism
charge, karga elektriko,Physics > Electro-magnetism
charge,karga,Technological Sciences > Construction technology
charge,karga,Physics > Mechanics
charge,zordunketa,Economic Sciences > Organization and management of enterprises
charge, zordundu,Economic Sciences > Organization and management of enterprises
charge,kargatu,Physics > General Physics specialities
charge,karga,Medical Sciences > Pharmaceutical Technology
charged particle,partikula kargatu,Physics > Electro-magnetism
charged particle,eramaile,Technological Sciences > Electronic technology
charged particle, karga-eramaile,Technological Sciences > Electronic technology
charged particle,partikula kargatu,Physics > Aplied Physics
chart,grafiko,Mathematics > Statistics
chart,diagrama,Mathematics > Analysis and functional analysis
check,banku-txeke,Economic Sciences > Organization and management of enterprises
check, txeke,Economic Sciences > Organization and management of enterprises
check,txeke,Economic Sciences > General economics
check,egiaztapen,Technological Sciences > Computer technology
citric acid,zitrato,Life sciences > Biochemistry and Molecular Biology
citric acid,azido zitriko,Medical Sciences > Pharmaceutical Technology
claim,erreklamazio,Technological Sciences > Projects
claim,adierazpen,Medical Sciences > Nutritional sciences
claim,errebindikazio,Economic Sciences > General economics
clamp,brida,Technological Sciences > Environmental technology and engineering
clamp,baraila,Technological Sciences > Mechanical engineering and technology
clamp, bridatu,Technological Sciences > Mechanical engineering and technology
clamp, txabetatu,Technological Sciences > Mechanical engineering and technology
clamp, brida,Technological Sciences > Mechanical engineering and technology
clamp,grapa,Technological Sciences > Electrical technology and engineering
clearance,argitze plasmatiko,Life sciences > Human physiology
clearance,garbitasun,Technological Sciences > Telecommunications technology
clearance,aklaramendu,Medical Sciences > Pharmacology
clearance, garbiketa,Medical Sciences > Pharmacology
clearance,lasaiera,Technological Sciences > Construction technology
clearance,isolatze-distantzia,Technological Sciences > Electrical technology and engineering
clot,tronbo,Life sciences > Human physiology
clot,odolbatu,Life sciences > Biochemistry and Molecular Biology
clot, odolbildu,Life sciences > Biochemistry and Molecular Biology
coal tar,harrikatz-alkaterna,Technological Sciences > Chemical technology and engineering
coal tar, harrikatz-mundrun,Technological Sciences > Chemical technology and engineering
coal tar,alkaterna,Technological Sciences > Environmental technology and engineering
coal tar, mundrun,Technological Sciences > Environmental technology and engineering
coating,geruza,Physics > Fluids (physics of)
coating,estaldura,Medical Sciences > Pharmaceutical Technology
coating, estalki,Medical Sciences > Pharmaceutical Technology
coating, estaltze,Medical Sciences > Pharmaceutical Technology
coating,estaldura,Technological Sciences > Mechanical engineering and technology
coil,hodibihur,Medical Sciences > Pharmaceutical Technology
coil,bira,Technological Sciences > Electrical technology and engineering
coil, espira,Technological Sciences > Electrical technology and engineering
coil, bobina,Technological Sciences > Electrical technology and engineering
coil, haril,Technological Sciences > Electrical technology and engineering
coil,espira,Physics > Electro-magnetism
coil, bobina,Physics > Electro-magnetism
coil, haril,Physics > Electro-magnetism
coil,espira,Physics > Aplied Physics
coil, bobina,Physics > Aplied Physics
coil, haril,Physics > Aplied Physics
coil,bobina,Technological Sciences > Electronic technology
coil, haril,Technological Sciences > Electronic technology
coil, induktantzia,Technological Sciences > Electronic technology
coil, indukzio-bobina,Technological Sciences > Electronic technology
coke oven,koke-bateria,Technological Sciences > Chemical technology and engineering
coke oven, koke-labeen bateria,Technological Sciences > Chemical technology and engineering
coke oven,koke-labe,Technological Sciences > Environmental technology and engineering
collection,bilketa,Technological Sciences > Environmental technology and engineering
collection, biltze,Technological Sciences > Environmental technology and engineering
collection,kobrantza,Economic Sciences > Organization and management of enterprises
command,komando,Technological Sciences > Telecommunications technology
command,agindu,Technological Sciences > Computer technology
command, instrukzio,Technological Sciences > Computer technology
command, sententzia,Technological Sciences > Computer technology
compass,iparrorratz,Earth and Space Sciences > Geology
compass,konpas,Technological Sciences > Mechanical engineering and technology
compass,iparrorratz,Technological Sciences > Construction technology
compass, konpas,Technological Sciences > Construction technology
compass,iparrorratz,Technological Sciences > Environmental technology and engineering
compass, konpas,Technological Sciences > Environmental technology and engineering
compass,iparrorratz,Physics > Aplied Physics
complement,konplementu,Medical Sciences > Microbiology
complement, osagarri,Medical Sciences > Microbiology
complement,osagarri,Mathematics > Algebra
complement,osagarri,Mathematics > Topology
complement,konplementu,Life sciences > Microbiology
compressional wave,konpresio-uhin,Earth and Space Sciences > Geology
compressional wave,konpresio-uhin,Technological Sciences > Environmental technology and engineering
compressional wave, P uhin,Technological Sciences > Environmental technology and engineering
compressional wave,luzetarako uhin,Physics > Aplied Physics
conceptual design,eraikuntza-proiektu,Technological Sciences > Projects
conceptual design,kontzeptu-diseinu,Technological Sciences > Mechanical engineering and technology
condenser,hoztaile,Chemistry > Organic chemistry
condenser,kondentsadore,Medical Sciences > Pharmaceutical Technology
condenser,kondentsadore,Technological Sciences > Environmental technology and engineering
condenser,hoztaile,Chemistry > Physical chemistry
condenser,kondentsadore,Physics > Optics
conduit,tximinia,Earth and Space Sciences > Geology
conduit,hodi,Technological Sciences > Electrical technology and engineering
conduit, tutu,Technological Sciences > Electrical technology and engineering
constant term,gai aske,Mathematics > Analysis and functional analysis
constant term, gai independente,Mathematics > Analysis and functional analysis
constant term,terminu konstante,Economic Sciences > Econometrics
consumer,kontsumitzaile,Mathematics > Analysis and functional analysis
consumer,kontsumitzaile,Economic Sciences > Economic theory
consumer,abonatu,Technological Sciences > Electrical technology and engineering
consumer, bezero,Technological Sciences > Electrical technology and engineering
consumer, erabiltzaile,Technological Sciences > Electrical technology and engineering
consumer,kontsumitzaile,Economic Sciences > General economics
consumer,kontsumitzaile,Economic Sciences > Organization and management of enterprises
container,edukiontzi,Technological Sciences > Computer technology
container,edukiontzi,Economic Sciences > Organization and management of enterprises
container,edukiontzi,Technological Sciences > Environmental technology and engineering
container,ontzi,Physics > Fluids (physics of)
contour line,inguru-marra,Technological Sciences > Mechanical engineering and technology
contour line, sestra-lerro,Technological Sciences > Mechanical engineering and technology
contour line,maila-lerro,Mathematics > Analysis and functional analysis
contour line, sestra-kurba,Mathematics > Analysis and functional analysis
contour line,sestra-kurba,Technological Sciences > Construction technology
contractionary fiscal policy,kontrakzio fiskaleko politika,Economic Sciences > General economics
contractionary fiscal policy,politika fiskal murriztaile,Economic Sciences > Economic theory
converter,bihurgailu,Technological Sciences > Telecommunications technology
converter,bihurgailu,Technological Sciences > Electrical technology and engineering
converter,bihurtzaile,Medical Sciences > Pharmacology
corner,erpin,Technological Sciences > Industrial technology
corner,kantoi,Technological Sciences > Construction technology
corner,erpin,Mathematics > Analysis and functional analysis
correlation coefficient,korrelazio-koefiziente,Economic Sciences > Econometrics
correlation coefficient,korrelazio-faktore,Chemistry > Analytical chemistry
corridor,korridore,Technological Sciences > Projects
corridor,igarobide,Physics > Fluids (physics of)
cotter pin,larako,Technological Sciences > Industrial technology
cotter pin,hegaldun larako,Technological Sciences > Mechanical engineering and technology
cough,eztul,Medical Sciences > Pharmacology
cough,estul,Medical Sciences > Medical diagnostic and Treatment Technology
countable family,familia kontagarri,Mathematics > Topology
countable family,familia zenbakigarri,Mathematics > Analysis and functional analysis
couple,akoplatu,Physics > Electro-magnetism
couple,akoplatu,Technological Sciences > Mechanical engineering and technology
couple,pare,Technological Sciences > Construction technology
couple, indar-pare,Technological Sciences > Construction technology
coupling,mihiztadura,Physics > Theoretical physics
coupling,enbrage,Technological Sciences > Mechanical engineering and technology
coupling,akoplamendu,Physics > Electro-magnetism
coupling,akoplamendu,Technological Sciences > Telecommunications technology
course,ibilgu,Technological Sciences > Environmental technology and engineering
course,errunbo,Technological Sciences > Construction technology
course, norabide,Technological Sciences > Construction technology
cover,estalki,Mathematics > Topology
cover,estalki,Physics > Electro-magnetism
cover,estaldura,Technological Sciences > Environmental technology and engineering
cover, oinarriko estaldura,Technological Sciences > Environmental technology and engineering
cover,estalki,Life sciences > Cell biology
cover,estalki,Technological Sciences > Mechanical engineering and technology
cover,estaldura,Medical Sciences > Pharmaceutical Technology
cover, estalki,Medical Sciences > Pharmaceutical Technology
cover, estaltze,Medical Sciences > Pharmaceutical Technology
cover,estalki,Technological Sciences > Construction technology
crack,arraildura,Technological Sciences > Environmental technology and engineering
crack, fisura,Technological Sciences > Environmental technology and engineering
crack, pitzadura,Technological Sciences > Environmental technology and engineering
crack,pitzadura,Technological Sciences > Construction technology
crack,arrakala,Technological Sciences > Mechanical engineering and technology
crack,arraildura,Earth and Space Sciences > Geology
cross section,zeharkako ebakidura,Technological Sciences > Industrial technology
cross section,sekzio-eragile,Physics > Theoretical physics
cross section,zeharkako ebakidura,Technological Sciences > Construction technology
cross section, zeharkako profil,Technological Sciences > Construction technology
cross section,zeharkako azalera,Technological Sciences > Environmental technology and engineering
cross section, zeharkako sekzio,Technological Sciences > Environmental technology and engineering
crust,zarakar,Technological Sciences > Food technology
crust,zarakar,Technological Sciences > Environmental technology and engineering
crust, lurrazal,Technological Sciences > Environmental technology and engineering
crust,lurrazal,Earth and Space Sciences > Geology
cure,sendaketa,Medical Sciences > Pharmacology
cure,ondu,Technological Sciences > Food technology
current intensity,intentsitate,Technological Sciences > Electronic technology
current intensity, korronte,Technological Sciences > Electronic technology
current intensity, korrontearen intentsitate,Technological Sciences > Electronic technology
current intensity,korronte-intentsitate,Physics > Electro-magnetism
current intensity, korrontearen intentsitate,Physics > Electro-magnetism
current intensity,korronte,Technological Sciences > Electrical technology and engineering
current intensity, korronte-intentsitate,Technological Sciences > Electrical technology and engineering
current intensity,korronte-intentsitatea,Physics > General Physics specialities
data processing,informatika,Technological Sciences > Instrumentation technology
data processing,datuen tratamendu,Chemistry > Physical chemistry
datum,datu,Chemistry > Physical chemistry
datum,datu,Mathematics > Analysis and functional analysis
datum,datu,Technological Sciences > Telecommunications technology
datum, datu informatiko,Technological Sciences > Telecommunications technology
datum,erreferentzia-elementu,Technological Sciences > Mechanical engineering and technology
deadline,data limite,Technological Sciences > Projects
deadline, muga-eguna,Technological Sciences > Projects
deadline,epe,Medical Sciences > Pharmacology
decay,desintegrazio,Physics > Mechanics
decay,beherakortasun,Mathematics > Analysis and functional analysis
decay rate,aktibitate,Physics > General Physics specialities
decay rate,desintegrazio-abiadura,Life sciences > Biochemistry and Molecular Biology
decrease,jaitsiera,Medical Sciences > Pharmaceutical Technology
decrease,beherakortasun,Mathematics > Analysis and functional analysis
deduction,kenkari,Technological Sciences > Projects
deduction,kenkari,Economic Sciences > General economics
deduction,atxikipen,Economic Sciences > Organization and management of enterprises
deduction, erretentzio,Economic Sciences > Organization and management of enterprises
delay,atzerapen,Technological Sciences > Projects
delay,atzerapen,Physics > Electro-magnetism
delay,atzerapen,Technological Sciences > Telecommunications technology
delay,atzerapen,Medical Sciences > Pharmacology
delay,atzerapen-denbora,Technological Sciences > Computer technology
delay,atzerapen,Technological Sciences > Instrumentation technology
delta,delta,Technological Sciences > Environmental technology and engineering
delta,delta,Earth and Space Sciences > Geology
delta,triangelu,Technological Sciences > Electrical technology and engineering
deposition,deposizio,Technological Sciences > Environmental technology and engineering
deposition, jalkiera,Technological Sciences > Environmental technology and engineering
deposition,metaketa,Earth and Space Sciences > Geology
depreciation,amortizazio,Economic Sciences > Organization and management of enterprises
depreciation,balio-galera,Technological Sciences > Projects
depreciation, depreziazio,Technological Sciences > Projects
depreciation, desbalorizazio,Technological Sciences > Projects
depreciation,amortizazio,Economic Sciences > General economics
depreciation, balio-galera,Economic Sciences > General economics
