basque,spanish,context
agregatu,agregado,Earth and Space Sciences > Geology
agregatu,agregado,Medical Sciences > Pharmaceutical Technology
agregatu,agregar,Economic Sciences > Econometrics
ahaide,pariente,Juridical Sciences & Law > Constitutional law
ahaide,pariente,Juridical Sciences & Law > Civil law
ahaide,agnado,Juridical Sciences & Law > Roman law
ahaide,pariente,Education sciences
ahaidetasun,parentesco,Juridical Sciences & Law > Civil law
ahaidetasun,parentesco,Education sciences
ahaidetasun, relación,Education sciences
ahaidetasun,agnación,Juridical Sciences & Law > Roman law
ahaidetasun,parentesco,Juridical Sciences & Law > Constitutional law
ahaidetasun,parentesco,Juridical Sciences & Law > Labour and Social Security law
ahal,potestad,Juridical Sciences & Law > Administrative law
ahal,facultad,Juridical Sciences & Law > Constitutional law
ahalmen,capacidad,Economic Sciences > Organization and management of enterprises
ahalmen,capacidad,Juridical Sciences & Law > Law Philosophy
ahalmen, facultad,Juridical Sciences & Law > Law Philosophy
ahalmen,potestad,Juridical Sciences & Law > Constitutional law
ahalmen,facultad,Juridical Sciences & Law > Administrative law
ahalmen,potencia,Mathematics > Statistics
ahalmen,capacidad,Education sciences
ahalmen,capacidad,Medical Sciences > Pharmacology
ahalmen,capacidad,Life sciences > Animal Biology
ahalmen oxidatzaile,poder oxidante,Technological Sciences > Environmental technology and engineering
ahalmen oxidatzaile,capacidad  oxidante,Life sciences > Biochemistry and Molecular Biology
ahalorde,poder,Juridical Sciences & Law > Finance law
ahalorde,poder,Juridical Sciences & Law > Civil law
ahalorde,apoderado,Juridical Sciences & Law > Commercial law
ahalorde, aporderado mediante poder,Juridical Sciences & Law > Commercial law
ahoko kandidiasi,candidiasis orofaríngea,Medical Sciences > Pharmacology
ahoko kandidiasi,candidiasis oral,Medical Sciences > Microbiology
aholku,asesor,Juridical Sciences & Law > Constitutional law
aholku,consejo,Education sciences
aholku,consejo,Medical Sciences > Pharmacology
aholkularitza,consultoría,Technological Sciences > Projects
aholkularitza, empresa consultora,Technological Sciences > Projects
aholkularitza,asesoría,Education sciences
aholkularitza,asesoría,Juridical Sciences & Law > Finance law
aholkularitza,consultoría,Economic Sciences > Organization and management of enterprises
aholkularitza-enpresa,empresa de consultoría,Economic Sciences > Organization and management of enterprises
aholkularitza-enpresa,consultoría,Technological Sciences > Projects
aholkularitza-enpresa, empresa consultora,Technological Sciences > Projects
aireztapen,aeración,Technological Sciences > Environmental technology and engineering
aireztapen, aireación,Technological Sciences > Environmental technology and engineering
aireztapen,aireación,Technological Sciences > Food technology
aireztapen, ventilación,Technological Sciences > Food technology
aireztapen,ventilación,Life sciences > Human physiology
aireztapen,ventilación,Medical Sciences > Pathology
aitorpen,declaración,Juridical Sciences & Law > Labour and Social Security law
aitorpen,declaración,Juridical Sciences & Law > Constitutional law
aitorpen, reconocimiento,Juridical Sciences & Law > Constitutional law
aitorpen,declaración,Juridical Sciences & Law > Finance law
aitorpen,reconocimiento,Juridical Sciences & Law > Administrative law
aitortu,declarar,Juridical Sciences & Law > Finance law
aitortu,confesar,Juridical Sciences & Law > Constitutional law
aitortu, declarar,Juridical Sciences & Law > Constitutional law
aitortu, reconocer,Juridical Sciences & Law > Constitutional law
aitortu,confeso,Juridical Sciences & Law > Roman law
aitortu,declarar,Juridical Sciences & Law > Law Philosophy
aitortu, reconocer,Juridical Sciences & Law > Law Philosophy
aitortu,reconocer,Juridical Sciences & Law > Canon law
aitortu,reconocer,Juridical Sciences & Law > Administrative law
akats,defecto,Juridical Sciences & Law > Constitutional law
akats,defecto,Technological Sciences > Electrical technology and engineering
akats, fallo,Technological Sciences > Electrical technology and engineering
akats, falta,Technological Sciences > Electrical technology and engineering
akats,vicio,Juridical Sciences & Law > Roman law
akats,defecto,Juridical Sciences & Law > Law Philosophy
akats, error,Juridical Sciences & Law > Law Philosophy
akats, vicio,Juridical Sciences & Law > Law Philosophy
akats,defecto,Technological Sciences > Construction technology
akats,error,Technological Sciences > Computer technology
akats, fallo,Technological Sciences > Computer technology
akats,error,Medical Sciences > Pharmacology
akats, fallo,Medical Sciences > Pharmacology
akats,defecto,Medical Sciences > Dentistry
akats material,vicio material,Juridical Sciences & Law > Law Philosophy
akats material,erro material,Juridical Sciences & Law > Finance law
aktibatzaile,activador,Life sciences > Human physiology
aktibatzaile,proteína activadora,Life sciences > Biochemistry and Molecular Biology
aktibo ez-korronte,activo fijo,Economic Sciences > Economic accounting
aktibo ez-korronte, actvo no corriente,Economic Sciences > Economic accounting
aktibo ez-korronte,activo no corriente,Economic Sciences > Organization and management of enterprises
akzio-erreakzio,acción-reacción,Technological Sciences > Construction technology
akzio-erreakzio,acción y reacción,Physics > Aplied Physics
akziodun,accionista,Economic Sciences > Economic accounting
akziodun,accionista,Economic Sciences > Organization and management of enterprises
akziodun,actor,Juridical Sciences & Law > Roman law
albo-ondorio,efecto secundario,Chemistry > Organic chemistry
albo-ondorio,efecto secundario,Medical Sciences > Pathology
albo-ondorio,complicación,Medical Sciences > Microbiology
albo-ondorio,efectos secundarios,Medical Sciences > Pharmaceutical Technology
aldaezintasun,invariancia,Physics > Mechanics
aldaezintasun,invariancia,Physics > Theoretical physics
aldaezintasun,inmutabilidad,Juridical Sciences & Law > Procedural law
aldagai aske,variable independiente,Mathematics > Statistics
aldagai aske,variable independiente,Mathematics > Analysis and functional analysis
aldagai aske,variable independiente,Technological Sciences > Telecommunications technology
aldagai aske,variable libre,Mathematics > Algebra
aldagarritasun,mutabilidad,Juridical Sciences & Law > Procedural law
aldagarritasun, variabilidad,Juridical Sciences & Law > Procedural law
aldagarritasun,modificabilidad,Technological Sciences > Computer technology
aldagarritasun, mutabilidad,Technological Sciences > Computer technology
aldagarritasun,movilidad,Juridical Sciences & Law > Constitutional law
aldagarritasun,variabilidad,Economic Sciences > Econometrics
aldaketa,modificación,Technological Sciences > Computer technology
aldaketa,cambio,Medical Sciences > Pharmacology
aldaketa,cambio,Juridical Sciences & Law > Constitutional law
aldaketa genetiko,cambios genéticos,Medical Sciences > Pharmacology
aldaketa genetiko,cambio genético,Life sciences > Microbiology
aldaketa genetiko, modificación genética,Life sciences > Microbiology
aldaketa genetiko, variación genética,Life sciences > Microbiology
aldakuntza,reforma,Juridical Sciences & Law > Constitutional law
aldakuntza,variación,Technological Sciences > Electrical technology and engineering
aldakuntza,variación,Physics > Aplied Physics
aldakuntza,variación,Economic Sciences > Econometrics
aldaratze-indar,fuerza de repulsión,Physics > Aplied Physics
aldaratze-indar,fuerza repulsiva,Physics > Electro-magnetism
aldaratze-indar,fuerza de repulsión,Physics > General Physics specialities
aldaratze-indar, fuerza repulsiva,Physics > General Physics specialities
alde,parte,Education sciences
alde,lado,Technological Sciences > Industrial technology
alde,lado,Physics > Electro-magnetism
alde,lado,Mathematics > Analysis and functional analysis
alderanzketa,curva de inversión,Physics > Thermodynamics
alderanzketa,inversión,Physics > Theoretical physics
alderdi,partido,Juridical Sciences & Law > Constitutional law
alderdi,parte,Juridical Sciences & Law > Procedural law
alderdi,parte,Juridical Sciences & Law > Civil law
aldi,fase,Medical Sciences > Pharmacology
aldi,temporada,Education sciences
aldi, turno,Education sciences
aldi,periodo,Juridical Sciences & Law > Constitutional law
aldiuneko korronte,intensidad instantánea,Technological Sciences > Electrical technology and engineering
aldiuneko korronte,corriente instantánea,Physics > Electro-magnetism
alokairu,alquiler,Economic Sciences > General economics
alokairu,alquiler,Economic Sciences > Organization and management of enterprises
alokairu,salario,Juridical Sciences & Law > Labour and Social Security law
alokairu,salario,Economic Sciences > Economic theory
altitude,altitud,Physics > General Physics specialities
altitude,altitud,Technological Sciences > Environmental technology and engineering
altitude,altura,Earth and Space Sciences > Metereology and Oceanography
altxor publiko,Tesoro Público,Juridical Sciences & Law > Finance law
altxor publiko,tesoro público,Economic Sciences > General economics
altxor publiko,tesoro público,Economic Sciences > Economic accounting
angiotentsinaren entzima bihurtzaile,ECA,Chemistry > Organic chemistry
angiotentsinaren entzima bihurtzaile, enzima convertidora de angiotensina,Chemistry > Organic chemistry
angiotentsinaren entzima bihurtzaile,enzima convertidor de angiotensina,Life sciences > Human physiology
aniztasun,pluralidad,Juridical Sciences & Law > Constitutional law
aniztasun,pluralidad,Technological Sciences > Projects
aniztasun,diversidad,Education sciences
aniztasun,pluralismo,Juridical Sciences & Law > Canon law
antiarritmiko,antiarritmicos,Medical Sciences > Pharmacology
antiarritmiko,antiarrítmico,Chemistry > Organic chemistry
antibakteriano,antibacteriano,Medical Sciences > Microbiology
antibakteriano,antibiótico,Chemistry > Organic chemistry
antolamendu,organización,Juridical Sciences & Law > Law Philosophy
antolamendu,organización,Juridical Sciences & Law > Administrative law
antolamendu,ordenamiento,Juridical Sciences & Law > Constitutional law
antzekotasun,semejanza,Medical Sciences > Medical diagnostic and Treatment Technology
antzekotasun,similitud,Physics > Electro-magnetism
anulazio,nulidad,Juridical Sciences & Law > Procedural law
anulazio,anulación,Juridical Sciences & Law > Finance law
aparteko ordainsari,paga extraordinaria,Juridical Sciences & Law > Constitutional law
aparteko ordainsari,paga extraordinaria,Juridical Sciences & Law > Labour and Social Security law
aparteko ordainsari,paga extra,Economic Sciences > Economic accounting
aparteko ordu,hora extraordinaria,Juridical Sciences & Law > Labour and Social Security law
aparteko ordu,horas extra,Economic Sciences > Organization and management of enterprises
aparteko ordu, tiempo extra,Economic Sciences > Organization and management of enterprises
apelazio,apelación,Juridical Sciences & Law > Procedural law
apelazio, recurso de apelación,Juridical Sciences & Law > Procedural law
apelazio,recurso de apelación,Juridical Sciences & Law > Administrative law
apelazio,apelación,Juridical Sciences & Law > Roman law
ar,masculino,Life sciences > Cell biology
ar,macho,Life sciences > Animal Biology
arakatu,averiguar,Juridical Sciences & Law > Finance law
arakatu,examinar,Juridical Sciences & Law > Constitutional law
arakatu, indagar,Juridical Sciences & Law > Constitutional law
arau tekniko,norma técnica,Juridical Sciences & Law > Law Philosophy
arau tekniko,prescripción técnica,Technological Sciences > Projects
arau tekniko, regla técnica,Technological Sciences > Projects
arau tekniko,norma técnica,Medical Sciences > Nutritional sciences
arau-hauste,infracción,Medical Sciences > Nutritional sciences
arau-hauste,infracción de normas,Juridical Sciences & Law > Law Philosophy
arau-hauste,infracción normativa,Juridical Sciences & Law > Labour and Social Security law
arau-hauste,infracción,Juridical Sciences & Law > Finance law
arau-hauste,infracción,Juridical Sciences & Law > Administrative law
arau-hauste, infracción administrativa,Juridical Sciences & Law > Administrative law
arau-hauste,infracción,Juridical Sciences & Law > Procedural law
araubide,normativa,Juridical Sciences & Law > Labour and Social Security law
araubide,normativa,Juridical Sciences & Law > Law Philosophy
araubide, reglamentación,Juridical Sciences & Law > Law Philosophy
araubide,normativa,Juridical Sciences & Law > Constitutional law
araubide, régimen,Juridical Sciences & Law > Constitutional law
araubide,régimen,Juridical Sciences & Law > Administrative law
araubide,normativa,Education sciences
araubide, reglamentación,Education sciences
araudi,normativa,Juridical Sciences & Law > Law Philosophy
araudi, reglamento,Juridical Sciences & Law > Law Philosophy
araudi,normativa,Juridical Sciences & Law > Labour and Social Security law
araudi,normativa,Technological Sciences > Environmental technology and engineering
araudi,erregelamendu,Juridical Sciences & Law > Constitutional law
araudi, normativa,Juridical Sciences & Law > Constitutional law
araudi, reglamento,Juridical Sciences & Law > Constitutional law
araudi,normativa,Technological Sciences > Projects
araudi, reglamento,Technological Sciences > Projects
araudi,reglamento,Medical Sciences > Nutritional sciences
araudi,normativa,Medical Sciences > Pharmaceutical Technology
araudi,normativa,Education sciences
araudi, reglamentación,Education sciences
araudi,normativa,Juridical Sciences & Law > Administrative law
araudi,normativa,Juridical Sciences & Law > Civil law
araudi tekniko,reglamento técnico,Technological Sciences > Projects
araudi tekniko,normativa técnica,Technological Sciences > Construction technology
arauketa,regulación,Juridical Sciences & Law > Administrative law
arauketa,regulación,Juridical Sciences & Law > Civil law
arauketa,regulación,Juridical Sciences & Law > Law Philosophy
arauketa,nomalización,Technological Sciences > Industrial technology
arauketa,normalización,Technological Sciences > Mechanical engineering and technology
arauketa,regulación,Technological Sciences > Projects
arautegi,normativa,Technological Sciences > Projects
arautegi, reglamento,Technological Sciences > Projects
arautegi,reglamento,Medical Sciences > Nutritional sciences
arautegi,reglamento,Juridical Sciences & Law > Civil law
arautegi,normativa,Juridical Sciences & Law > Law Philosophy
arautegi, reglamento,Juridical Sciences & Law > Law Philosophy
arautegi,normativa,Technological Sciences > Environmental technology and engineering
arautegi,normativa,Education sciences
arautegi, reglamentación,Education sciences
arautu,normalizar,Technological Sciences > Industrial technology
arautu,dictar normas,Juridical Sciences & Law > Law Philosophy
arautu, reglamentar,Juridical Sciences & Law > Law Philosophy
arautu, regular,Juridical Sciences & Law > Law Philosophy
arautu,normar,Juridical Sciences & Law > Constitutional law
arautu, normativizar,Juridical Sciences & Law > Constitutional law
arautu, regular,Juridical Sciences & Law > Constitutional law
arautu,regular,Juridical Sciences & Law > Administrative law
arazketa,potabilización,Life sciences > Microbiology
arazketa,depuración,Technological Sciences > Environmental technology and engineering
arazo,cuestión,Juridical Sciences & Law > Constitutional law
arazo,problema,Education sciences
arazo,problema,Medical Sciences > Pharmacology
ardura,diligencia,Juridical Sciences & Law > Roman law
ardura,cuidado,Education sciences
ardura, responsabilidad,Education sciences
area,área,Physics > Electro-magnetism
area,páncreas,Medical Sciences > Pharmacology
areto,sala,Juridical Sciences & Law > Procedural law
areto,salón,Technological Sciences > Projects
argi-iturri,fuente de luz,Physics > Optics
argi-iturri, fuente luminosa,Physics > Optics
argi-iturri,fuente de luz,Technological Sciences > Electrical technology and engineering
argi-iturri, fuente luminosa,Technological Sciences > Electrical technology and engineering
argi-iturri,fuente del haz,Chemistry > Analytical chemistry
arindu,aligerar,Juridical Sciences & Law > Constitutional law
arindu,atenuar,Juridical Sciences & Law > Finance law
arnas-aparatu,aparato respiratorio,Life sciences > Human physiology
arnas-aparatu,tracto respiratorio,Life sciences > Microbiology
arnasbide,vías respiratorias,Medical Sciences > Pharmacology
arnasbide,buffer,Economic Sciences > Organization and management of enterprises
arnasbide,vías respiratorias,Medical Sciences > Pharmaceutical Technology
arnasbide,vía aérea,Life sciences > Microbiology
arnasbide, vía respiratoria,Life sciences > Microbiology
arrakala,grieta,Technological Sciences > Mechanical engineering and technology
arrakala,fisura,Technological Sciences > Environmental technology and engineering
arrazoi,razón,Juridical Sciences & Law > Law Philosophy
arrazoi,razón,Mathematics > Analysis and functional analysis
arrazoi,razón,Medical Sciences > Public health
arrazoi,cociente,Physics > Electro-magnetism
arrazoi, razón,Physics > Electro-magnetism
arrazoi,causa,Education sciences
arrazoi, razón,Education sciences
arrazoi,motivo,Juridical Sciences & Law > Constitutional law
arrazoitu,argumentar,Juridical Sciences & Law > Law Philosophy
arrazoitu, razonar,Juridical Sciences & Law > Law Philosophy
arrazoitu,motivar,Juridical Sciences & Law > Administrative law
arrisku,riesgo,Medical Sciences > Pharmacology
arrisku,peligro,Education sciences
arrisku,riesgo,Juridical Sciences & Law > Roman law
arrisku,riesgo,Economic Sciences > Economic accounting
arrisku,peligro,Juridical Sciences & Law > Constitutional law
arrisku,riesgo,Technological Sciences > Projects
arrisku,riesgo,Technological Sciences > Environmental technology and engineering
arrisku-maila,categoria de riesgo,Technological Sciences > Projects
arrisku-maila,nivel de riesgo,Technological Sciences > Environmental technology and engineering
artekari,intermediario,Juridical Sciences & Law > Civil law
artekari, mediador,Juridical Sciences & Law > Civil law
artekari,árbitro,Technological Sciences > Computer technology
artezketa,rectificación,Technological Sciences > Telecommunications technology
artezketa,rectificación,Technological Sciences > Electronic technology
artezketa,rectificado,Technological Sciences > Mechanical engineering and technology
asetasun,saturación,Technological Sciences > Electrical technology and engineering
asetasun,saciedad,Economic Sciences > Economic theory
asetasun,saturación,Medical Sciences > Pharmaceutical Technology
asetasun,saturación,Technological Sciences > Electronic technology
atal,parte,Medical Sciences > Pharmacology
atal,miembro,Mathematics > Analysis and functional analysis
atal,parte,Medical Sciences > Pharmaceutical Technology
atari,umbral,Technological Sciences > Telecommunications technology
atari,entrada,Technological Sciences > Projects
atseden-egoera,situación de reposo,Life sciences > Animal Biology
atseden-egoera,condición de reposo,Life sciences > Human physiology
atxiki,retener,Economic Sciences > Economic accounting
atxiki,apego,Education sciences
atxiki, unir,Education sciences
atxiki,adherir,Juridical Sciences & Law > Finance law
atxiki, retener,Juridical Sciences & Law > Finance law
atxiki,vincular,Juridical Sciences & Law > Constitutional law
atxikidura,adhesión,Life sciences > Cell biology
atxikidura,adherencia,Technological Sciences > Environmental technology and engineering
atxikidura,adherencia,Medical Sciences > Microbiology
atxikidura,retención,Chemistry > Analytical chemistry
atxikidura,adhesión,Life sciences > Microbiology
atxikidura-proteina,proteína de adherencia,Medical Sciences > Microbiology
atxikidura-proteina,proteína de adhesión,Life sciences > Microbiology
atxikimendu,apego,Education sciences
atxikimendu, unir,Education sciences
atxikimendu,vinculación,Juridical Sciences & Law > Constitutional law
atxikimendu, vínculo,Juridical Sciences & Law > Constitutional law
atxikimendu,adhesión,Juridical Sciences & Law > Finance law
atxikimendu,adhesión,Juridical Sciences & Law > International law
atxikipen,adhesión,Juridical Sciences & Law > International law
atxikipen,retención,Juridical Sciences & Law > Finance law
atxikipen,retención,Juridical Sciences & Law > Labour and Social Security law
atxikipen,retención,Technological Sciences > Projects
atxikipen,retención,Economic Sciences > Organization and management of enterprises
atxikipen,retención,Technological Sciences > Environmental technology and engineering
atzera egin,desistir,Juridical Sciences & Law > Procedural law
atzera egin,desistir,Juridical Sciences & Law > Administrative law
atzera egin,revocar,Juridical Sciences & Law > Civil law
atzera-egite,retroceso,Technological Sciences > Chemical technology and engineering
atzera-egite, retroceso de la llama,Technological Sciences > Chemical technology and engineering
atzera-egite,retirada,Juridical Sciences & Law > European Union law
atzera-egite,desistimiento,Juridical Sciences & Law > Procedural law
atzerapen,retardo,Physics > Electro-magnetism
atzerapen,retardo,Technological Sciences > Projects
atzerapen, retraso,Technological Sciences > Projects
atzerapen,retardo,Technological Sciences > Telecommunications technology
atzerapen,retraso,Medical Sciences > Pharmacology
atzerapen,atraso,Juridical Sciences & Law > Finance law
atzerapen,demora,Juridical Sciences & Law > Labour and Social Security law
atzerapen,retardo,Economic Sciences > Econometrics
atzerapen,retardo,Technological Sciences > Instrumentation technology
atzitu,acceder,Technological Sciences > Computer technology
atzitu,arrestar,Juridical Sciences & Law > Law Philosophy
atzitu, percibir,Juridical Sciences & Law > Law Philosophy
aukera,opción,Juridical Sciences & Law > Constitutional law
aukera,alternativa,Technological Sciences > Projects
aukera,opción,Medical Sciences > Pharmacology
aukera terapeutiko,opción terapéutica,Medical Sciences > Pharmacology
aukera terapeutiko,alternativa terapéutica,Medical Sciences > Microbiology
aurkaratu,impugnar,Juridical Sciences & Law > Administrative law
aurkaratu,oponer,Juridical Sciences & Law > Procedural law
aurrekin,precedente,Juridical Sciences & Law > International law
aurrekin,antecedente,Juridical Sciences & Law > Finance law
aurrerapen,anticipación,Economic Sciences > Economic accounting
aurrerapen,progreso,Education sciences
aurreratu,adelantar,Economic Sciences > Economic accounting
aurreratu,ahorrar,Economic Sciences > Organization and management of enterprises
aurreratu,adelantar,Technological Sciences > Electrical technology and engineering
aurreratze,adelanto,Technological Sciences > Projects
aurreratze,evolución,Medical Sciences > Pharmacology
aurreratze, progresión,Medical Sciences > Pharmacology
aurreratze, progreso,Medical Sciences > Pharmacology
aurretratamendu,pretratamiento,Chemistry > Analytical chemistry
aurretratamendu,tratamiento previo,Technological Sciences > Food technology
aurretratamendu,pretratamiento,Technological Sciences > Environmental technology and engineering
autobektore,autovector,Mathematics > Algebra
autobektore,vector propio,Physics > Thermodynamics
autobektore,autovector,Mathematics > Analysis and functional analysis
autobektore, vector propio,Mathematics > Analysis and functional analysis
auzi,juicio,Juridical Sciences & Law > Roman law
auzi, pleito,Juridical Sciences & Law > Roman law
auzi, proceso,Juridical Sciences & Law > Roman law
auzi,contencioso,Juridical Sciences & Law > Law Philosophy
auzi, litigio,Juridical Sciences & Law > Law Philosophy
auzi, pleito,Juridical Sciences & Law > Law Philosophy
auzi,disputa,Education sciences
auzi, juicio,Education sciences
auzi,litigio,Juridical Sciences & Law > Administrative law
auzi,litigio,Juridical Sciences & Law > Labour and Social Security law
auzi,causa,Juridical Sciences & Law > Procedural law
auzi,pleito,Juridical Sciences & Law > Constitutional law
auzi-ihes,rebeldía,Juridical Sciences & Law > Procedural law
auzi-ihes,contumacia,Juridical Sciences & Law > Roman law
auzi-jartzaile,demandante,Juridical Sciences & Law > Labour and Social Security law
auzi-jartzaile,actor,Juridical Sciences & Law > Roman law
auzibide,ejercitar acciones judiciales,Education sciences
auzibide, vía judicial,Education sciences
auzibide,proceso,Juridical Sciences & Law > Constitutional law
auzitegi,organismo,Juridical Sciences & Law > Law Philosophy
auzitegi, tribunal,Juridical Sciences & Law > Law Philosophy
auzitegi,Juzgado,Juridical Sciences & Law > Labour and Social Security law
auzitegi,tribunal,Juridical Sciences & Law > Procedural law
auzitegi,tribunal,Juridical Sciences & Law > Administrative law
auzitegi,tribunal,Juridical Sciences & Law > Constitutional law
auzitegi berezi,tribunal especial,Juridical Sciences & Law > Procedural law
auzitegi berezi,tribunal especializado,Juridical Sciences & Law > European Union law
azal,superficie,Medical Sciences > Medical diagnostic and Treatment Technology
azal,piel,Medical Sciences > Pharmacology
azal,cubierta,Technological Sciences > Electrical technology and engineering
azal, cubierta exterior,Technological Sciences > Electrical technology and engineering
azal, envolvente,Technological Sciences > Electrical technology and engineering
azal,piel,Medical Sciences > Pharmaceutical Technology
azal, superficie,Medical Sciences > Pharmaceutical Technology
azal,cáscara,Technological Sciences > Projects
azal,piel,Life sciences > Animal Biology
azalera,área,Technological Sciences > Electronic technology
azalera,área,Technological Sciences > Projects
azalera,superficie,Technological Sciences > Construction technology
azalera,superficie,Juridical Sciences & Law > Roman law
azalera,superficie,Juridical Sciences & Law > Civil law
azalera,área,Mathematics > Analysis and functional analysis
