english,basque,context
amoebic dysentery,amebengatiko disenteria,Medical Sciences > Microbiology
amortization,amortizazio,Technological Sciences > Projects
amortization,amortizazio,Economic Sciences > General economics
amortization,amortizazio finantzario; finantza-amortizazio,Economic Sciences > Organization and management of enterprises
amperage,intentsitate,Physics > Electro-magnetism
amperage,korronte; korronte-intentsitate,Technological Sciences > Electrical technology and engineering
ampere,ampere,Physics > General Physics specialities
ampere,ampere,Technological Sciences > Electronic technology
ampere,ampere,Physics > Aplied Physics
ampere,ampere,Physics > Electro-magnetism
ampere,ampere unitatea,Technological Sciences > Electrical technology and engineering
ampicillin,anpizilina,Medical Sciences > Pharmaceutical Technology
ampicillin,anpizilina,Life sciences > Biochemistry and Molecular Biology
ampicillin,ampizilina,Medical Sciences > Pharmacology
ampicillin,anpizilina,Medical Sciences > Microbiology
amplitude,anplitude,Physics > Electro-magnetism
amplitude,anplitude,Physics > Aplied Physics
amplitude,anplitude,Technological Sciences > Electronic technology
amplitude,anplitude,Technological Sciences > Electrical technology and engineering
amplitude,anplitude,Technological Sciences > Telecommunications technology
amplitude,anplitude,Physics > Theoretical physics
amplitude,hein,Mathematics > Statistics
amplitude,anplitude,Physics > General Physics specialities
amplitude,anplitude,Life sciences > Biochemistry and Molecular Biology
amplitude,anplitude,Technological Sciences > Environmental technology and engineering
anaerobic conditions,anaerobiosi; baldintza anaerobikoak,Life sciences > Biochemistry and Molecular Biology
anaerobic conditions,baldintza anaerobiko,Technological Sciences > Environmental technology and engineering
analysis of variance,bariantza-analisia,Chemistry > Analytical chemistry
analysis of variance,ANOVA; bariantza-analisi,Mathematics > Statistics
analytical technique,analisi-teknika,Medical Sciences > Pharmaceutical Technology
analytical technique,teknika analitiko,Chemistry > Analytical chemistry
angular unconformity,diskordantzia,Earth and Space Sciences > Geology
angular unconformity,diskortantzia angular,Technological Sciences > Environmental technology and engineering
anion exchange,anioi-truke,Life sciences > Biochemistry and Molecular Biology
anion exchange,anioi-trukaketa; trukaketa anionikoa,Technological Sciences > Environmental technology and engineering
annealing,suberapen; suberatze,Technological Sciences > Electrical technology and engineering
annealing,suberaketa,Technological Sciences > Mechanical engineering and technology
antidepressant,antidepresibo,Medical Sciences > Pharmacology
antidepressant,depresio-kontrako,Chemistry > Organic chemistry
antihypertensive,antihipertentsibo; farmako antihipertentsibo,Medical Sciences > Pharmacology
antihypertensive,hipertentsio-kontrako,Chemistry > Organic chemistry
antimicrobial,antimikrobiar,Medical Sciences > Pharmacology
antimicrobial,antimikrobiano,Medical Sciences > Microbiology
antimicrobial,antimikrobiano,Technological Sciences > Food technology
antiparasitic,antiparasitario,Medical Sciences > Microbiology
antiparasitic,parasito-kontrako,Chemistry > Organic chemistry
antipyretic,antipiretiko,Medical Sciences > Pharmacology
antipyretic,sukar-kontrako,Chemistry > Organic chemistry
antipyretic,antipiretiko,Life sciences > Human physiology
aqueous phase,ur-fase,Chemistry > Organic chemistry
aqueous phase,ur-fase,Chemistry > Analytical chemistry
aqueous phase,ur-fase,Life sciences > Biochemistry and Molecular Biology
aqueous phase,ur-fase,Technological Sciences > Environmental technology and engineering
aqueous phase,fase akuoso,Chemistry > Physical chemistry
area,area,Physics > Electro-magnetism
area,gune,Medical Sciences > Pharmacology
area,azalera; eremu; esparru; gune,Technological Sciences > Projects
area,azalera,Technological Sciences > Construction technology
area,azalera,Technological Sciences > Industrial technology
area,azalera,Mathematics > Statistics
area,azalera,Mathematics > Analysis and functional analysis
armature,armadura; induzitu,Technological Sciences > Electrical technology and engineering
armature,armadura,Physics > Electro-magnetism
armature,induzitu,Physics > Aplied Physics
arterial pressure,tentsio arterial,Medical Sciences > Pharmacology
arterial pressure,arteria-presio,Life sciences > Animal Biology
assay,balorazio; saiakuntza,Medical Sciences > Pharmaceutical Technology
assay,entsegu; saio,Life sciences > Biochemistry and Molecular Biology
assembly,multzo,Technological Sciences > Mechanical engineering and technology
assembly,muntaketa,Technological Sciences > Industrial technology
assembly,mihiztadura; muntaketa,Economic Sciences > Organization and management of enterprises
assembly,muntaia,Technological Sciences > Projects
assembly,mihiztadura; mihiztaketa; mihiztatze,Technological Sciences > Computer technology
assertion,baieztapen,Mathematics > Analysis and functional analysis
assertion,baieztapen,Mathematics > Statistics
assertion,asertzio,Technological Sciences > Computer technology
assessment,balioespen; balioztapen; balorazio; ebaluazio,Technological Sciences > Environmental technology and engineering
assessment,ebaluazio,Technological Sciences > Projects
assessment,zehaztapen,Medical Sciences > Pharmaceutical Technology
assessment,ebaluaketa,Medical Sciences > Pharmacology
assign,esleitu,Physics > Electro-magnetism
assign,uztartu,Technological Sciences > Computer technology
association,elkarketa,Technological Sciences > Electrical technology and engineering
association,elkarte,Medical Sciences > Pharmacology
association,elkarketa,Physics > Electro-magnetism
associative property,propietate elkarkor,Mathematics > Algebra
associative property,elkartze-lege; elkartze-propietate,Mathematics > Analysis and functional analysis
atmospheric pressure,egurats presio; presio atmosferiko,Technological Sciences > Environmental technology and engineering
atmospheric pressure,presio atmosferiko,Chemistry > Physical chemistry
atmospheric pressure,egurats-presio; presio atmosferiko,Physics > General Physics specialities
atmospheric pressure,presio atmosferiko,Chemistry > Analytical chemistry
atmospheric pressure,presio atmosferiko,Earth and Space Sciences > Metereology and Oceanography
atmospheric pressure,presio atmosferiko,Physics > Fluids (physics of)
atmospheric pressure,egurats-presio,Physics > Thermodynamics
atmospheric pressure,presio atmosferiko,Physics > Mechanics
atmospheric pressure,presio atmosferiko,Technological Sciences > Chemical technology and engineering
attenuation,ahuldura; atenuazio,Physics > Electro-magnetism
attenuation,indargabetze; moteltze,Medical Sciences > Microbiology
attenuation,indargabetze,Medical Sciences > Medical diagnostic and Treatment Technology
attenuation,ahuldura; atenuazio,Technological Sciences > Telecommunications technology
attenuation coefficient,atenuazio-koefiziente,Physics > Electro-magnetism
attenuation coefficient,indargabetze-koefiziente,Medical Sciences > Medical diagnostic and Treatment Technology
audit,ikuskaritza,Technological Sciences > Environmental technology and engineering
audit,ikuskaritza,Medical Sciences > Nutritional sciences
audit,auditoretza; auditoria,Technological Sciences > Projects
authority,botere; autoritate,Medical Sciences > Nutritional sciences
authority,aginpide,Technological Sciences > Projects
autonomic nervous system,NS autonomo,Medical Sciences > Pharmacology
autonomic nervous system,nerbio-sistema autonomo,Life sciences > Human physiology
availability,erabilgarritasun; eskuragarritasun,Technological Sciences > Environmental technology and engineering
availability,erabilgarritasun,Mathematics > Analysis and functional analysis
availability,erabilgarritasun,Physics > Electro-magnetism
availability,erabilgarritasun,Technological Sciences > Telecommunications technology
availability,eskuragarritasun,Technological Sciences > Computer technology
axial plane,plano axial,Earth and Space Sciences > Geology
axial plane,mozketa axial,Medical Sciences > Medical diagnostic and Treatment Technology
bacterial conjugation,bakterioen konjugazio,Medical Sciences > Microbiology
bacterial conjugation,bakterio-konjugazio,Life sciences > Biochemistry and Molecular Biology
balance,balantza,Medical Sciences > Pharmaceutical Technology
balance,saldo,Economic Sciences > Organization and management of enterprises
balance,saldo,Economic Sciences > General economics
balance,balantza,Physics > Fluids (physics of)
balance,balantze; balantza,Technological Sciences > Environmental technology and engineering
balance,balantza,Chemistry > Physical chemistry
balance,balantza,Technological Sciences > Food technology
balance of payments,pagamendu-balantza,Economic Sciences > Economic theory
balance of payments,ordainketa-balantza,Economic Sciences > General economics
base,base,Chemistry > Analytical chemistry
base,base,Chemistry > Organic chemistry
base,oinarri,Technological Sciences > Electronic technology
base,oinarri,Technological Sciences > Industrial technology
base,base,Medical Sciences > Pharmaceutical Technology
base,alkali; base,Technological Sciences > Environmental technology and engineering
base,oinarri,Mathematics > Analysis and functional analysis
base station,base-estazio,Technological Sciences > Telecommunications technology
base station,oinarri-estazio,Physics > Electro-magnetism
baseline,oin-lerro,Chemistry > Analytical chemistry
baseline,oinarri-lerro,Technological Sciences > Projects
basement,soto,Technological Sciences > Projects
basement,basamentu; zokalo,Earth and Space Sciences > Geology
batch,lote; sorta,Economic Sciences > Organization and management of enterprises
batch,partida,Technological Sciences > Projects
batch,sorta,Medical Sciences > Nutritional sciences
batch,lote,Medical Sciences > Pharmaceutical Technology
bay,posizio,Technological Sciences > Electrical technology and engineering
bay,bao,Technological Sciences > Mechanical engineering and technology
beam,sorta,Medical Sciences > Medical diagnostic and Treatment Technology
beam,habe,Technological Sciences > Construction technology
beam,izpi,Medical Sciences > Pharmaceutical Technology
beam,habe,Technological Sciences > Mechanical engineering and technology
bearing,berme; euskarri; lotura; sostengu-elementu,Technological Sciences > Construction technology
bearing,kojinete,Technological Sciences > Mechanical engineering and technology
bearing,kojinete,Technological Sciences > Electrical technology and engineering
behavior,jokaera,Life sciences > Animal Biology
behavior,portaera,Physics > Electro-magnetism
bend,ukondo,Technological Sciences > Environmental technology and engineering
bend,ukondotu,Technological Sciences > Mechanical engineering and technology
benefit,irabazi; mozkin,Economic Sciences > Economic theory
benefit,onura,Medical Sciences > Pharmacology
Bernoulli equation,Bernoulli-ren ekuazio diferentzial,Mathematics > Analysis and functional analysis
Bernoulli equation,Bernoulli-ren ekuazio,Physics > Mechanics
bias,alborapen,Mathematics > Statistics
bias,polarizazio,Technological Sciences > Electronic technology
bias,alborapen,Economic Sciences > Econometrics
bias,alborapen,Life sciences > Biochemistry and Molecular Biology
bicarbonate,bikarbonato,Chemistry > Analytical chemistry
bicarbonate,bikarbonato ioi,Life sciences > Human physiology
bicarbonate,bikarbonato,Technological Sciences > Environmental technology and engineering
bicarbonate,bikarbonato,Medical Sciences > Pharmaceutical Technology
bill of materials,materialen zerrenda,Economic Sciences > Organization and management of enterprises
bill of materials,material-zerrenda,Technological Sciences > Mechanical engineering and technology
binary mixture,nahaste bitar,Chemistry > Physical chemistry
binary mixture,nahaste binario,Technological Sciences > Environmental technology and engineering
bioavailability,bioeskuragarritasun,Chemistry > Organic chemistry
bioavailability,bioerabilgarritasun,Medical Sciences > Pharmacology
bioavailability,bioerabilgarritasun,Life sciences > Biochemistry and Molecular Biology
bioindicator,adierazle biologiko; bioadierazle,Technological Sciences > Environmental technology and engineering
bioindicator,bioindikatzaile,Life sciences > Animal Biology
bioreactor,bioerreaktore; erreaktore biologiko,Technological Sciences > Environmental technology and engineering
bioreactor,hartzitzaile,Medical Sciences > Microbiology
bituminous coal,harrikatz; ikatz bituminoso,Technological Sciences > Chemical technology and engineering
bituminous coal,harrikatz bituminoso,Technological Sciences > Environmental technology and engineering
blade,xafla,Medical Sciences > Pharmaceutical Technology
blade,aihotz; mikrotomoaren aihotz; mozketa aihotz,Life sciences > Cell biology
blade,alabe,Physics > Fluids (physics of)
block,bloke,Technological Sciences > Construction technology
block,bloke,Earth and Space Sciences > Geology
block,altxagarri,Technological Sciences > Mechanical engineering and technology
block,bloke,Technological Sciences > Computer technology
block,bloke,Technological Sciences > Environmental technology and engineering
block,blokeatu,Technological Sciences > Electrical technology and engineering
block,etxe-irla,Technological Sciences > Projects
blood plasma,plasma,Life sciences > Biochemistry and Molecular Biology
blood plasma,odol-plasma,Life sciences > Human physiology
boiling point,irakite-puntu; irakite-tenperatura,Chemistry > Physical chemistry
boiling point,irakite-puntu,Technological Sciences > Food technology
boiling point,irakite-puntu; irakite-tenperatura,Technological Sciences > Environmental technology and engineering
boiling point,irakite-puntu,Life sciences > Biochemistry and Molecular Biology
boiling point,irakite-puntu,Chemistry > Organic chemistry
boiling point,irakite-tenperatura,Chemistry > Analytical chemistry
boiling point,Irakite-puntu,Medical Sciences > Pharmaceutical Technology
boiling point,irakite-puntu; irakite-tenperatura,Technological Sciences > Chemical technology and engineering
bond,lotura,Technological Sciences > Environmental technology and engineering
bond,lotura,Physics > General Physics specialities
bond,bonu,Economic Sciences > Economic theory
bond,bonu,Technological Sciences > Projects
bond,lotura,Physics > Aplied Physics
bond,lotura,Physics > Electro-magnetism
bond,lotura,Technological Sciences > Electronic technology
bond,lotura,Chemistry > Analytical chemistry
bond,bonu,Economic Sciences > General economics
bottom,hondo,Technological Sciences > Environmental technology and engineering
bottom,hondo,Physics > Fluids (physics of)
bottom,hondo,Earth and Space Sciences > Metereology and Oceanography
bottom,oin,Earth and Space Sciences > Geology
bound,borne; bornatu; mugatu,Mathematics > Analysis and functional analysis
bound,kota,Economic Sciences > Econometrics
box,ontzi,Medical Sciences > Pharmacology
box,kutxa,Life sciences > Biochemistry and Molecular Biology
brain,burmuin; zerebro,Life sciences > Animal Biology
brain,zerebro,Life sciences > Cell biology
brain,entzefalo,Life sciences > Human physiology
brain,garun,Medical Sciences > Pharmacology
break,apurketa; haustura,Technological Sciences > Construction technology
break,haustura,Technological Sciences > Industrial technology
break,atsedenaldi,Economic Sciences > Organization and management of enterprises
break,haustura; zartadura,Technological Sciences > Environmental technology and engineering
break line,sigi-sagako lerro,Technological Sciences > Industrial technology
break line,lerro hautsi,Technological Sciences > Mechanical engineering and technology
breakdown,haustura,Technological Sciences > Electronic technology
breakdown,elektroi-olde,Technological Sciences > Electrical technology and engineering
breaking,etendura; balaztatze,Technological Sciences > Electrical technology and engineering
breaking,haustura,Medical Sciences > Pharmaceutical Technology
brightness,argitasun,Medical Sciences > Medical diagnostic and Treatment Technology
brightness,distira,Technological Sciences > Environmental technology and engineering
broadcast,barreiatze,Technological Sciences > Computer technology
broadcast,difusio; zabaltze,Technological Sciences > Telecommunications technology
bronchodilator,bronkozabaltzaile,Medical Sciences > Pharmacology
bronchodilator,bronkio-zabaltzaile; bronkodilatadore,Chemistry > Organic chemistry
budget line,aurrekontu-lerro; aurrekontu-zuzen,Economic Sciences > Economic theory
budget line,balantze-zuzen,Economic Sciences > General economics
buffer,indargetzaile; tanpoi,Technological Sciences > Environmental technology and engineering
buffer,arnasbide; buffer,Economic Sciences > Organization and management of enterprises
buffer,indargetzaile,Medical Sciences > Pharmaceutical Technology
buffer,buffer; tarteko memoria,Technological Sciences > Instrumentation technology
buffer,indargetzaile,Chemistry > Organic chemistry
buffer,buffer; tarteko memoria,Technological Sciences > Computer technology
buffer,indargetzaile,Chemistry > Analytical chemistry
buffer,soluzio indargetzaile,Life sciences > Microbiology
buffer,buffer,Technological Sciences > Projects
buffer,indargetzaile,Life sciences > Human physiology
buffer solution,disoluzio indargetzaile,Medical Sciences > Pharmaceutical Technology
buffer solution,disoluzio indargetzaile,Chemistry > Analytical chemistry
buffer solution,soluzio indargetzaile,Life sciences > Microbiology
buffer solution,soluzio indargetzaile,Life sciences > Biochemistry and Molecular Biology
buffer solution,erreguladore,Chemistry > Physical chemistry
buffer solution,indargetze-disoluzio,Technological Sciences > Environmental technology and engineering
bug,zimitz,Life sciences > Animal Biology
bug,imuxa,Medical Sciences > Microbiology
building,eraikuntza,Technological Sciences > Construction technology
building,eraikin; eraikuntza,Technological Sciences > Projects
building,eraikin,Technological Sciences > Urban planning
buoyancy,bultzada,Physics > General Physics specialities
buoyancy,bultzada,Physics > Aplied Physics
buoyancy,goranzko bultzada,Physics > Fluids (physics of)
burn,erredura,Medical Sciences > Pharmacology
burn,erre,Technological Sciences > Chemical technology and engineering
bushing,abatz; gurpegi,Technological Sciences > Electrical technology and engineering
bushing,zorro,Technological Sciences > Mechanical engineering and technology
buttress,buttress,Earth and Space Sciences > Geology
buttress,horma-bular; kontrahorma,Technological Sciences > Construction technology
cake,talo,Medical Sciences > Pharmaceutical Technology
cake,opil,Technological Sciences > Environmental technology and engineering
calibration curve,kalibrazio-kurba,Chemistry > Physical chemistry
calibration curve,kalibrazio-zuzen; patroi-zuzen,Life sciences > Biochemistry and Molecular Biology
calibration curve,kalibrazio-kurba,Chemistry > Analytical chemistry
candidate solution,soluziogai,Mathematics > Operations research
candidate solution,soluzio egingarri,Mathematics > Analysis and functional analysis
capacity,kapazitantzia; kapazitate; kapazitate elektriko,Physics > Electro-magnetism
capacity,ahalmen; gaitasun,Medical Sciences > Pharmacology
capacity,ahalmen,Life sciences > Animal Biology
capacity,edukiera,Technological Sciences > Computer technology
capacity,edukiera,Medical Sciences > Pharmaceutical Technology
capacity,ahalmen,Economic Sciences > Organization and management of enterprises
carcinogenic,kartzinogeno,Technological Sciences > Environmental technology and engineering
carcinogenic,kantzerigeno,Technological Sciences > Food technology
cardiac cycle,bihotz ziklo; ziklo kardiako,Medical Sciences > Pathology
cardiac cycle,bihotz-ziklo,Life sciences > Human physiology
cardiac output,bihotz-gastu; gastu kardiako,Life sciences > Animal Biology
cardiac output,bihotz-gastu,Life sciences > Human physiology
cardiac output,bihotz gastu,Medical Sciences > Pathology
cardiac output,bihotz-gastu,Medical Sciences > Pharmacology
cardiovascular system,sistema kardiobaskular,Life sciences > Human physiology
cardiovascular system,aparatu kardiobaskular; sistema kardiobascular,Life sciences > Animal Biology
carrier,gizaki eramaile,Medical Sciences > Public health
carrier,eramaile; karga-eramaile,Physics > Electro-magnetism
carrier,eramaile,Medical Sciences > Microbiology
carrier,garraiatzaile,Life sciences > Biochemistry and Molecular Biology
carrier,eramaile; seinale eramaile,Technological Sciences > Telecommunications technology
carrier,eramaile; karga-eramaile,Technological Sciences > Electronic technology
carrier,garraiatzaile,Life sciences > Animal Biology
casting,galdaketa,Technological Sciences > Environmental technology and engineering
casting,casting; mota-bihurketa,Technological Sciences > Computer technology
cation exchange,katioi-truke,Life sciences > Biochemistry and Molecular Biology
cation exchange,katioi-trukaketa; trukaketa kationikoa,Technological Sciences > Environmental technology and engineering
cavity,barrunbe,Physics > Electro-magnetism
cavity,barrunbe,Medical Sciences > Pharmaceutical Technology
cavity,ahokaleku,Technological Sciences > Mechanical engineering and technology
cavity,barrunbe,Medical Sciences > Medical diagnostic and Treatment Technology
cell,pila; pila elektrokimiko; pila voltaiko,Physics > Electro-magnetism
cell,zelula,Medical Sciences > Pharmacology
cell,gela unitate; gelaxka,Technological Sciences > Environmental technology and engineering
cell,gelaxka,Physics > Thermodynamics
cell,zelula,Life sciences > Microbiology
cell,zelula,Life sciences > Cell biology
cell,zelula,Life sciences > Biochemistry and Molecular Biology
cell,gelaxka,Technological Sciences > Electrical technology and engineering
cell,zelula,Technological Sciences > Telecommunications technology
cell,zelula,Technological Sciences > Instrumentation technology
cell,gelaxka; zelula; gelaxka galbaniko; pila,Chemistry > Physical chemistry
cell,gelaxka,Mathematics > Statistics
cell,zelula,Life sciences > Animal Biology
cell,gelaxka,Technological Sciences > Computer technology
cell biology,biologia zelular; zelulen biologia,Life sciences > Biochemistry and Molecular Biology
cell biology,Biologia Zelular,Life sciences > Cell biology
cell culture,zelula-hazkuntza,Medical Sciences > Microbiology
cell culture,hazkuntza; hazkuntza zelular; kultibo zelular; zelulen hazkuntza,Life sciences > Cell biology
cell culture,zelula-hazkuntza,Life sciences > Biochemistry and Molecular Biology
cell layer,geruza zelular,Life sciences > Cell biology
cell layer,zelula-geruza; zelula-maila,Technological Sciences > Instrumentation technology
cell line,zelula-lerro,Medical Sciences > Microbiology
cell line,lerro zelular,Life sciences > Cell biology
cell line,zelula-lerro,Life sciences > Biochemistry and Molecular Biology
cell nucleus,nucleus; nukleo; nukleo zelular; zelulen nukleo,Life sciences > Cell biology
cell nucleus,zelularen nukleo,Chemistry > Organic chemistry
cell signaling,zelulen seinalizazio,Life sciences > Biochemistry and Molecular Biology
cell signaling,komunikazio zelular,Life sciences > Cell biology
cell suspension,esekidura zelular,Life sciences > Cell biology
cell suspension,zelula-suspentsio,Life sciences > Biochemistry and Molecular Biology
cell wall,pareta; pareta zelular; zelulen pareta,Life sciences > Cell biology
cell wall,zelula-pareta,Life sciences > Biochemistry and Molecular Biology
cell wall,horma zelular; pareta zelular; zelula-horma,Life sciences > Microbiology
cell wall,zelula-pareta,Chemistry > Organic chemistry
cell wall,zelula-horma; zelula-pareta,Medical Sciences > Microbiology
cellular respiration,zelulen arnasketa,Life sciences > Cell biology
cellular respiration,barne-arnasketa,Life sciences > Animal Biology
cement,zementu,Technological Sciences > Environmental technology and engineering
cement,zementatu,Earth and Space Sciences > Geology
census,zentsu,Economic Sciences > Econometrics
census,errolda,Technological Sciences > Environmental technology and engineering
census,errolda; zentsu,Mathematics > Statistics
center,zentro,Mathematics > Analysis and functional analysis
center,zentro,Mathematics > Algebra
center,zentro,Medical Sciences > Pharmacology
center,simetria-zentro,Physics > Electro-magnetism
center,zentro,Physics > Aplied Physics
central limit theorem,limitearen teorema nagusia; limitearen teorema zentrala,Mathematics > Statistics
central limit theorem,limitearen teorema zentral; LTZ,Economic Sciences > Econometrics
central nervous system,nerbio-sistema zentral; NSZ,Life sciences > Microbiology
central nervous system,nerbio sistema zentral; NSZ,Medical Sciences > Pharmacology
central nervous system,nerbio-sistema zentral; NSZ,Chemistry > Organic chemistry
central nervous system,nerbio-sistema zentral,Life sciences > Animal Biology
char,karaktere,Technological Sciences > Computer technology
char,char; semikoke,Technological Sciences > Chemical technology and engineering
characteristic,ezaugarri; karakteristika,Physics > Electro-magnetism
characteristic,ezaugarri,Technological Sciences > Electronic technology
characteristic,ezaugarri,Technological Sciences > Instrumentation technology
characteristic,ezaugarri-kurba,Technological Sciences > Electrical technology and engineering
charge,karga; zama,Technological Sciences > Environmental technology and engineering
charge,karga,Chemistry > Physical chemistry
charge,kargatu; karga,Physics > Aplied Physics
charge,karga; karga-prozesu,Technological Sciences > Electronic technology
charge,karga,Physics > Fluids (physics of)
charge,karga,Chemistry > Analytical chemistry
charge,karga; karga elektriko,Physics > Electro-magnetism
charge,karga,Technological Sciences > Construction technology
charge,karga,Physics > Mechanics
charge,zordunketa; zordundu,Economic Sciences > Organization and management of enterprises
charge,kargatu,Physics > General Physics specialities
charge,karga,Medical Sciences > Pharmaceutical Technology
charged particle,partikula kargatu,Physics > Electro-magnetism
charged particle,eramaile; karga-eramaile,Technological Sciences > Electronic technology
