basque,english,context
adierazle,indicator,Chemistry > Physical chemistry
adierazle,indicator,Chemistry > Analytical chemistry
adierazle,flag; pointer,Technological Sciences > Computer technology
adierazle,indicator,Technological Sciences > Industrial technology
adierazle,indicator,Medical Sciences > Pharmaceutical Technology
adierazle biologiko,biological marker,Medical Sciences > Pharmaceutical Technology
adierazle biologiko,bioindicator; biological indicator,Technological Sciences > Environmental technology and engineering
adierazpen,expression; representation,Mathematics > Analysis and functional analysis
adierazpen,expression,Physics > General Physics specialities
adierazpen,expression,Mathematics > Algebra
adierazpen,expression; gene expression,Life sciences > Biochemistry and Molecular Biology
adierazpen,claim,Medical Sciences > Nutritional sciences
adierazpen analitiko,analytic representation,Mathematics > Analysis and functional analysis
adierazpen analitiko,analytical expression,Technological Sciences > Telecommunications technology
adierazpen bektorial,vector expression,Physics > Electro-magnetism
adierazpen bektorial,vector representation,Technological Sciences > Electrical technology and engineering
adierazpen esponentzial,exponential expression,Mathematics > Analysis and functional analysis
adierazpen esponentzial,exponential representation,Technological Sciences > Electrical technology and engineering
adierazpen grafiko,graphic representation; graphical representation,Mathematics > Analysis and functional analysis
adierazpen grafiko,graphic representation,Technological Sciences > Mechanical engineering and technology
adierazpen grafiko,graphic expression; graphics communication; technical drawing; technical graphic drawing,Technological Sciences > Industrial technology
adierazpen grafiko,graphical representation,Technological Sciences > Electrical technology and engineering
adierazpen grafiko,graphic expression,Technological Sciences > Projects
adierazpen matematiko,mathematic expression,Physics > Electro-magnetism
adierazpen matematiko,mathematic representation; mathematical expression,Mathematics > Analysis and functional analysis
aditu,expert,Technological Sciences > Environmental technology and engineering
aditu,surveyor,Technological Sciences > Projects
adjuntu,adjoint; adjoint of a matrix,Mathematics > Analysis and functional analysis
adjuntu,adjunt; cofactor,Mathematics > Algebra
aerobiosi,aerobic conditions,Life sciences > Biochemistry and Molecular Biology
aerobiosi,aerobiosis,Life sciences > Microbiology
ageriko inguru,limiting contour,Technological Sciences > Industrial technology
ageriko inguru,apparent profile,Technological Sciences > Mechanical engineering and technology
agerraldi,disease outbreak,Medical Sciences > Microbiology
agerraldi,outbreak,Life sciences > Microbiology
agindu,prescription,Medical Sciences > Pharmacology
agindu,command; instruction; sentence,Technological Sciences > Computer technology
agindu,order,Medical Sciences > Nutritional sciences
agindu,instruction,Technological Sciences > Instrumentation technology
ahalmen,capacity,Economic Sciences > Organization and management of enterprises
ahalmen,power,Mathematics > Statistics
ahalmen,ability; capacity,Medical Sciences > Pharmacology
ahalmen,capacity,Life sciences > Animal Biology
aho,mouth,Life sciences > Animal Biology
aho,mouth,Medical Sciences > Pharmacology
aho,muzzle,Physics > Fluids (physics of)
aire-bolumen,volume of air,Earth and Space Sciences > Metereology and Oceanography
aire-bolumen,air volume,Life sciences > Animal Biology
aireztapen,aeration,Technological Sciences > Environmental technology and engineering
aireztapen,ventilation,Technological Sciences > Food technology
aireztapen,ventilation,Life sciences > Human physiology
aireztapen,ventilation,Medical Sciences > Pathology
akats,defect; fault,Technological Sciences > Electrical technology and engineering
akats,fault,Technological Sciences > Construction technology
akats,error; fault; mistake,Technological Sciences > Computer technology
akats,error; failure,Medical Sciences > Pharmacology
akats,defect,Medical Sciences > Dentistry
aklimatazio,acclimation,Life sciences > Animal Biology
aklimatazio,acclimatization,Technological Sciences > Environmental technology and engineering
akoplatu,couple,Physics > Electro-magnetism
akoplatu,connect,Technological Sciences > Electrical technology and engineering
akoplatu,couple; scarf,Technological Sciences > Mechanical engineering and technology
aktibo finko,fixed asset; non-current asset,Economic Sciences > Economic accounting
aktibo finko,capital asset; fixed asset,Economic Sciences > General economics
akzio,share; stock,Economic Sciences > Organization and management of enterprises
akzio,action,Physics > Electro-magnetism
akzio,share; stock,Economic Sciences > General economics
akzio,action,Technological Sciences > Construction technology
akzio,action,Technological Sciences > Instrumentation technology
akzio,action,Physics > Mechanics
alakatu,chamfer,Technological Sciences > Mechanical engineering and technology
alakatu,bevel; splay,Technological Sciences > Industrial technology
albeolo,alveoli,Life sciences > Human physiology
albeolo,alveolus,Medical Sciences > Pharmaceutical Technology
albo-ondorio,secondary effect,Chemistry > Organic chemistry
albo-ondorio,secondary effect,Medical Sciences > Pathology
albo-ondorio,complication,Medical Sciences > Microbiology
albo-ondorio,side effects,Medical Sciences > Pharmaceutical Technology
aldagai aske,independent variable,Mathematics > Statistics
aldagai aske,independent variable,Mathematics > Analysis and functional analysis
aldagai aske,independent variable,Technological Sciences > Telecommunications technology
aldagai aske,nonbasic variable,Mathematics > Algebra
aldagai estokastiko,stochastic variable,Physics > Thermodynamics
aldagai estokastiko,random variable,Economic Sciences > Econometrics
aldagarritasun,modifiability; mutability,Technological Sciences > Computer technology
aldagarritasun,variability,Economic Sciences > Econometrics
aldaketa,modification,Technological Sciences > Computer technology
aldaketa,change,Medical Sciences > Pharmacology
aldaketa genetiko,genetic changes,Medical Sciences > Pharmacology
aldaketa genetiko,genetic change; genetic modification; genetic variation,Life sciences > Microbiology
aldaratze-indar,repulsion force,Physics > Aplied Physics
aldaratze-indar,repulsive force,Physics > Electro-magnetism
aldaratze-indar,repulsion force; repulsive force,Physics > General Physics specialities
alderantzizko matrize,inverse matrix,Mathematics > Analysis and functional analysis
alderantzizko matrize,inverse of a matrix,Mathematics > Algebra
alga,algae,Life sciences > Animal Biology
alga,algae,Life sciences > Microbiology
alga,alga,Technological Sciences > Environmental technology and engineering
alkaloide,alkaloid,Chemistry > Organic chemistry
alkaloide,alkaloid,Life sciences > Microbiology
alkaloide,alcaloid,Medical Sciences > Pharmaceutical Technology
alokairu,hire,Economic Sciences > General economics
alokairu,hire; rent,Economic Sciences > Organization and management of enterprises
alokairu,salary; wage,Economic Sciences > Economic theory
amigdala,tonsil,Medical Sciences > Pharmacology
amigdala,amigdala,Life sciences > Human physiology
aminoazido,aminoacid,Life sciences > Animal Biology
aminoazido,amino acid,Chemistry > Organic chemistry
aminoazido,amino acid; aminoacid,Life sciences > Biochemistry and Molecular Biology
aminoazido,amino acid,Medical Sciences > Pharmaceutical Technology
aminoazido,aminoacid,Technological Sciences > Food technology
aminoazido,amino acid,Technological Sciences > Environmental technology and engineering
aminoazido,aminoacid,Life sciences > Microbiology
aminoazido,amino acid,Life sciences > Cell biology
amortizazio,amortization,Technological Sciences > Projects
amortizazio,amortization; depreciation,Economic Sciences > General economics
amortizazio,depreciation,Economic Sciences > Organization and management of enterprises
amortizazio finantzario,financial amortization,Economic Sciences > Economic accounting
amortizazio finantzario,amortization,Economic Sciences > Organization and management of enterprises
amortizazio metatu,cumulative depreciation,Economic Sciences > Organization and management of enterprises
amortizazio metatu,cumulated amortization,Economic Sciences > Economic accounting
anaerobio,anaerobic,Technological Sciences > Food technology
anaerobio,anaerobe,Medical Sciences > Microbiology
anaerobiosi,anaerobiosis,Medical Sciences > Microbiology
anaerobiosi,anaerobic conditions,Life sciences > Biochemistry and Molecular Biology
anaerobiosi,anaerobiosis,Life sciences > Microbiology
analizatzaile,analyzer,Technological Sciences > Chemical technology and engineering
analizatzaile,analyser,Technological Sciences > Environmental technology and engineering
analizatzaile,analyzer,Physics > Optics
anizkoiztasun-ordena,multiplicative order; order of multiplicity,Mathematics > Analysis and functional analysis
anizkoiztasun-ordena,multiplicity order,Technological Sciences > Electrical technology and engineering
antena,antenna,Physics > General Physics specialities
antena,antenna,Physics > Electro-magnetism
antena,aerial; antenna,Technological Sciences > Telecommunications technology
antena,antenna (pl.antennae),Life sciences > Animal Biology
antibakteriano,antibacterial,Medical Sciences > Microbiology
antibakteriano,antibiotic,Chemistry > Organic chemistry
antibiotikoekiko sentikortasun,antibiotic sensitivity,Medical Sciences > Microbiology
antibiotikoekiko sentikortasun,antibiotic susceptibility; sensitivity to antibioticsantibiotic sensitivity; susceptibility to antibiotics,Life sciences > Microbiology
antikolinergiko,anticholinergic drugs; antocholinergic,Medical Sciences > Pharmacology
antikolinergiko,anticholinergic,Chemistry > Organic chemistry
aparatu,system,Life sciences > Human physiology
aparatu,apparatus; device,Technological Sciences > Electrical technology and engineering
aparatu,machine,Medical Sciences > Pharmaceutical Technology
aparatu,aparatus,Life sciences > Animal Biology
aplikazio,application,Physics > Electro-magnetism
aplikazio,map; mapping,Mathematics > Topology
aplikazio,application; function; map; mapping,Mathematics > Analysis and functional analysis
aplikazio,map,Mathematics > Algebra
aplikazio,application,Technological Sciences > Computer technology
aplikazio,application,Medical Sciences > Pharmaceutical Technology
aplikazio,application,Technological Sciences > Instrumentation technology
aplikazio bijektibo,bijective map,Mathematics > Topology
aplikazio bijektibo,bijection; bijective function; bijective mapping; one-to-one correspondence,Mathematics > Analysis and functional analysis
aplikazio bijektibo,bijective map,Mathematics > Algebra
aplikazio injektibo,injective function; injective mapping,Mathematics > Analysis and functional analysis
aplikazio injektibo,injective map,Mathematics > Topology
aplikazio lineal,linear application; linear function; linear mapping,Mathematics > Analysis and functional analysis
aplikazio lineal,linear map,Mathematics > Algebra
arau,norm,Technological Sciences > Instrumentation technology
arau,standard,Technological Sciences > Mechanical engineering and technology
arau,norm; standard,Technological Sciences > Projects
arau tekniko,technical requirement; technical rule,Technological Sciences > Projects
arau tekniko,technical standards,Medical Sciences > Nutritional sciences
araudi,legislation,Technological Sciences > Environmental technology and engineering
araudi,regulation; regulations; rules,Technological Sciences > Projects
araudi,regulation,Medical Sciences > Nutritional sciences
araudi,regulations,Medical Sciences > Pharmaceutical Technology
araudi tekniko,technical regulation,Technological Sciences > Projects
araudi tekniko,technical normative,Technological Sciences > Construction technology
arauketa,normalization; standardization,Technological Sciences > Industrial technology
arauketa,normalization; standardization,Technological Sciences > Mechanical engineering and technology
arauketa,regulation,Technological Sciences > Projects
arautegi,regulation; regulations; rules,Technological Sciences > Projects
arautegi,regulation,Medical Sciences > Nutritional sciences
arautegi,legislation,Technological Sciences > Environmental technology and engineering
arazketa,potabilization,Life sciences > Microbiology
arazketa,depuration; purification,Technological Sciences > Environmental technology and engineering
ardatz,axis,Mathematics > Analysis and functional analysis
ardatz,axis,Technological Sciences > Environmental technology and engineering
ardatz,axis,Physics > General Physics specialities
ardatz,axle; shaft,Technological Sciences > Mechanical engineering and technology
ardatz,axis,Technological Sciences > Industrial technology
ardatz,axis,Earth and Space Sciences > Geology
ardatz,shaft,Technological Sciences > Electrical technology and engineering
ardatz,axis,Technological Sciences > Construction technology
ardatz,axis,Medical Sciences > Pharmaceutical Technology
ardatz,axis,Mathematics > Algebra
ardatz,axis,Technological Sciences > Projects
ardatz,axis,Physics > Aplied Physics
ardatz,axis,Physics > Electro-magnetism
area,area,Physics > Electro-magnetism
area,pancreas,Medical Sciences > Pharmacology
argi,light,Medical Sciences > Medical diagnostic and Treatment Technology
argi,light,Physics > Electro-magnetism
argi,span,Technological Sciences > Construction technology
argi,lumen,Life sciences > Human physiology
argi,light,Physics > Optics
argi,ligth,Chemistry > Physical chemistry
argi-intentsitate,light intensity,Physics > Optics
argi-intentsitate,luminous intensity,Physics > General Physics specialities
argi-intentsitate,light intensity; luminous intensity,Physics > Electro-magnetism
argi-iturri,light source,Physics > Optics
argi-iturri,light source,Technological Sciences > Electrical technology and engineering
argi-iturri,beam source,Chemistry > Analytical chemistry
argi-urte,light-year,Physics > General Physics specialities
argi-urte,light year; ly,Physics > Mechanics
argitasun,brightness,Medical Sciences > Medical diagnostic and Treatment Technology
argitasun,lightness; luminosity,Technological Sciences > Environmental technology and engineering
argumentu,argument; phase,Mathematics > Analysis and functional analysis
argumentu,argument,Physics > Electro-magnetism
argumentu,argument,Technological Sciences > Computer technology
argumentu,argument,Technological Sciences > Telecommunications technology
argumentu,argument,Technological Sciences > Electrical technology and engineering
ariketa fisiko,exercise; physical exercise,Medical Sciences > Pharmacology
ariketa fisiko,exercise,Life sciences > Animal Biology
ariketa fisiko,physical exercise,Life sciences > Human physiology
arku,arch,Technological Sciences > Construction technology
arku,arc,Technological Sciences > Industrial technology
arku,arc,Physics > Aplied Physics
arku,arc,Mathematics > Analysis and functional analysis
armadura,armature; armour,Technological Sciences > Electrical technology and engineering
armadura,truss,Technological Sciences > Construction technology
armadura,armature,Physics > Electro-magnetism
arnas funtzio,respiratory function,Medical Sciences > Pathology
arnas funtzio,breathing function; respiratory system function,Medical Sciences > Pharmacology
arnas-aparatu,respiratory system,Life sciences > Human physiology
arnas-aparatu,respiratory tract,Life sciences > Microbiology
arnasbide,airway,Medical Sciences > Pharmacology
arnasbide,buffer,Economic Sciences > Organization and management of enterprises
arnasbide,respiratory tract,Medical Sciences > Pharmaceutical Technology
arnasbide,airway,Life sciences > Microbiology
arrazoi,ratio,Mathematics > Analysis and functional analysis
arrazoi,ratio,Medical Sciences > Public health
arrazoi,quotient; ratio,Physics > Electro-magnetism
arrisku-maila,risk category,Technological Sciences > Projects
arrisku-maila,risk level,Technological Sciences > Environmental technology and engineering
artezketa,rectification,Technological Sciences > Telecommunications technology
artezketa,rectification,Technological Sciences > Electronic technology
artezketa,grinding,Technological Sciences > Mechanical engineering and technology
arteztu,grind,Technological Sciences > Mechanical engineering and technology
arteztu,rectify,Technological Sciences > Electrical technology and engineering
artikulazio,articulation; joint,Technological Sciences > Construction technology
artikulazio,joint,Life sciences > Human physiology
artikulazio,articulation,Physics > Aplied Physics
asaldura,alteration,Life sciences > Animal Biology
asaldura,disturbance,Medical Sciences > Medical diagnostic and Treatment Technology
asaldura,alteration; disorder,Medical Sciences > Pharmacology
asetasun,saturation,Technological Sciences > Electrical technology and engineering
asetasun,satiation,Economic Sciences > Economic theory
asetasun,saturation,Medical Sciences > Pharmaceutical Technology
asetasun,saturation,Technological Sciences > Electronic technology
atal,part,Medical Sciences > Pharmacology
atal,member,Mathematics > Analysis and functional analysis
atal,part,Medical Sciences > Pharmaceutical Technology
atalase,threshold,Technological Sciences > Projects
atalase,limit value; riegel; rock bar; threshold value,Technological Sciences > Environmental technology and engineering
atalase,threshold,Technological Sciences > Electrical technology and engineering
atari,threshold,Technological Sciences > Telecommunications technology
atari,entrance,Technological Sciences > Projects
ate,gate,Technological Sciences > Electronic technology
ate,door,Technological Sciences > Civil Engineering
atomizatzaile,atomizer,Chemistry > Analytical chemistry
atomizatzaile,spray,Technological Sciences > Environmental technology and engineering
atomizazio,atomisation,Chemistry > Analytical chemistry
atomizazio,atomization,Technological Sciences > Food technology
atomizazio,atomization; spraying,Technological Sciences > Chemical technology and engineering
atomizazio,spraying,Medical Sciences > Pharmaceutical Technology
atseden-egoera,resting condition,Life sciences > Animal Biology
atseden-egoera,at rest condition,Life sciences > Human physiology
atxikidura,adhesion,Life sciences > Cell biology
atxikidura,adhesion,Technological Sciences > Environmental technology and engineering
atxikidura,adhesion,Medical Sciences > Microbiology
atxikidura,retention,Chemistry > Analytical chemistry
atxikidura,adhesion,Life sciences > Microbiology
atxikidura-proteina,attachment protein,Medical Sciences > Microbiology
atxikidura-proteina,adhesion protein,Life sciences > Microbiology
atxikipen,deduction,Economic Sciences > Organization and management of enterprises
atxikipen,retention,Technological Sciences > Environmental technology and engineering
atzerapen,delay,Physics > Electro-magnetism
atzerapen,delay,Technological Sciences > Projects
atzerapen,delay,Technological Sciences > Telecommunications technology
atzerapen,delay,Medical Sciences > Pharmacology
atzerapen,lag,Economic Sciences > Econometrics
atzerapen,delay,Technological Sciences > Instrumentation technology
aukera,alternative,Technological Sciences > Projects
aukera,option,Medical Sciences > Pharmacology
aukera terapeutiko,therapeutic option; therapeutical option,Medical Sciences > Pharmacology
aukera terapeutiko,therapeutic alternative,Medical Sciences > Microbiology
aurreikuspen,forecasting; prevision,Economic Sciences > Organization and management of enterprises
aurreikuspen,foresight,Technological Sciences > Environmental technology and engineering
aurreratu,save,Economic Sciences > Organization and management of enterprises
aurreratu,lead; leading current,Technological Sciences > Electrical technology and engineering
aurreratze,lead,Technological Sciences > Projects
aurreratze,evolution; progression,Medical Sciences > Pharmacology
aurretiko azterketa,preliminary study; previous study; previous test,Technological Sciences > Environmental technology and engineering
aurretiko azterketa,before study?,Technological Sciences > Projects
aurretratamendu,pre-treatment; pretreatment,Chemistry > Analytical chemistry
aurretratamendu,previous treatment,Technological Sciences > Food technology
aurretratamendu,pre-treatment; pretreatment,Technological Sciences > Environmental technology and engineering
azal,surface,Medical Sciences > Medical diagnostic and Treatment Technology
azal,skin,Medical Sciences > Pharmacology
azal,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
azal,skin; surface,Medical Sciences > Pharmaceutical Technology
azal,shell,Technological Sciences > Projects
azal,skin,Life sciences > Animal Biology
azalera,surface area,Technological Sciences > Electronic technology
azalera,area,Technological Sciences > Projects
azalera,area,Technological Sciences > Construction technology
azalera,area; surface area,Mathematics > Analysis and functional analysis
azalera,surface,Technological Sciences > Environmental technology and engineering
azalera,area,Mathematics > Statistics
azalera,surface area,Physics > Electro-magnetism
azalera,surface,Medical Sciences > Pharmaceutical Technology
azalera,surface,Physics > General Physics specialities
azalera,area; surface area,Technological Sciences > Industrial technology
azido azetiko,acetic acid,Chemistry > Physical chemistry
azido azetiko,acetic acid; CH<sub>3</sub>COOH,Technological Sciences > Environmental technology and engineering
azido azetiko,acetid acid,Life sciences > Cell biology
azido klorhidriko,hydrochloric acid,Technological Sciences > Environmental technology and engineering
azido klorhidriko,chlorhydric acid,Medical Sciences > Pharmaceutical Technology
azido-base oreka,acid-base equilibrium,Chemistry > Analytical chemistry
azido-base oreka,acid-base balance,Medical Sciences > Pathology
azido-base oreka,acid-base balance,Life sciences > Human physiology
aztarna,trace,Technological Sciences > Computer technology
aztarna,trace,Technological Sciences > Environmental technology and engineering
aztarna,footprint,Technological Sciences > Projects
azterketa,evaluation,Medical Sciences > Dentistry
azterketa,examination; analysis,Medical Sciences > Pharmacology
azterketa,research; study,Technological Sciences > Projects
azterketa,search; study,Medical Sciences > Pharmaceutical Technology
azterketa ekonomiko,economic analysis,Economic Sciences > Economic theory
azterketa ekonomiko,economic study,Technological Sciences > Projects
babes-neurri,protective measure,Medical Sciences > Medical diagnostic and Treatment Technology
babes-neurri,protection measure,Technological Sciences > Projects
babesle,protector,Medical Sciences > Pharmacology
babesle,sponsor,Technological Sciences > Projects
bahetu,sieve,Technological Sciences > Chemical technology and engineering
bahetu,screen,Technological Sciences > Environmental technology and engineering
baieztapen,affirmation,Mathematics > Algebra
baieztapen,affirmation; assertion,Mathematics > Analysis and functional analysis
baieztapen,assertion,Mathematics > Statistics
bakterio,bacteria,Life sciences > Microbiology
bakterio,bacteria; bacterium,Life sciences > Biochemistry and Molecular Biology
bakterio,bacterium,Medical Sciences > Pharmaceutical Technology
bakterio,bacteria,Life sciences > Cell biology
bakterio,bacterium,Technological Sciences > Environmental technology and engineering
bakterio,bacterium,Medical Sciences > Microbiology
bakterio,bacterium,Chemistry > Organic chemistry
balantza,escales; scale,Physics > General Physics specialities
balantza,balance,Medical Sciences > Pharmaceutical Technology
balantza,balance; scales,Physics > Fluids (physics of)
balantza,balance,Technological Sciences > Food technology
balantza,balance; weighing scale,Technological Sciences > Environmental technology and engineering
balantza,balance; scale,Chemistry > Physical chemistry
balantze,balance sheet,Economic Sciences > Organization and management of enterprises
balantze,balance,Technological Sciences > Environmental technology and engineering
baldintza,condition,Mathematics > Analysis and functional analysis
baldintza,condition; condition code,Technological Sciences > Computer technology
baldintza,condition,Physics > Electro-magnetism
baldintza,condition,Life sciences > Animal Biology
baldintza,condition,Mathematics > Statistics
baldintza normal,normal conditions; standard conditions,Technological Sciences > Environmental technology and engineering
baldintza normal,normal conditions,Physics > Thermodynamics
baldintza normal,standard condition,Technological Sciences > Chemical technology and engineering
baliabide propioak,own resources,Economic Sciences > Organization and management of enterprises
baliabide propioak,own fund,Economic Sciences > General economics
balio efikaz,effective value; RMS; root mean square,Technological Sciences > Electronic technology
balio efikaz,RMS value,Technological Sciences > Telecommunications technology
balio efikaz,effective value; rms value; root-mean-square value,Technological Sciences > Electrical technology and engineering
balio maximo,maximum value; peak value,Technological Sciences > Electrical technology and engineering
balio maximo,maximal value,Mathematics > Analysis and functional analysis
balio maximo,maximum value,Technological Sciences > Electronic technology
balio nominal,nominal value; rated value,Technological Sciences > Electrical technology and engineering
balio nominal,face value; nominal value,Economic Sciences > Organization and management of enterprises
balio-galera,depreciation; devalorisation; fall in value,Technological Sciences > Projects
balio-galera,fall in value,Economic Sciences > Organization and management of enterprises
balio-galera,depreciation,Economic Sciences > Economic theory
balio-galera,depreciation,Economic Sciences > General economics
balioespen,valuation,Economic Sciences > Organization and management of enterprises
balioespen,assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
balioespen,validation,Economic Sciences > Econometrics
baliokidetasun,equivalence,Mathematics > Algebra
baliokidetasun,equivalencia,Technological Sciences > Environmental technology and engineering
baliokidetasun,equivalence,Mathematics > Analysis and functional analysis
baliokidetasun,equivalence,Physics > Thermodynamics
baliokidetasun,equivalence,Technological Sciences > Electrical technology and engineering
baliokidetasun,equivalence,Technological Sciences > Construction technology
balioztapen,validation,Medical Sciences > Pharmaceutical Technology
balioztapen,assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
balorazio,titration,Chemistry > Analytical chemistry
balorazio,assay,Medical Sciences > Pharmaceutical Technology
balorazio,valuation,Economic Sciences > Organization and management of enterprises
balorazio,titration; volumetric analysis; assessment; evaluation; valuation,Technological Sciences > Environmental technology and engineering
balorazio,titration,Chemistry > Physical chemistry
banaketa,distribution,Mathematics > Analysis and functional analysis
banaketa,distribution,Physics > Thermodynamics
banaketa,distribution,Physics > Electro-magnetism
banaketa,distribution,Mathematics > Statistics
banaketa,distribution,Medical Sciences > Pharmaceutical Technology
banaketa,distribution,Technological Sciences > Electrical technology and engineering
banaketa,distribution,Life sciences > Biochemistry and Molecular Biology
banaketa,distribution; partition,Chemistry > Analytical chemistry
banaketa,distribution,Medical Sciences > Pharmacology
banda,band,Technological Sciences > Telecommunications technology
banda,band,Physics > General Physics specialities
banda,hinge,Technological Sciences > Mechanical engineering and technology
banda zabal,wideband,Technological Sciences > Telecommunications technology
banda zabal,broad band,Physics > Electro-magnetism
banku,bank,Economic Sciences > General economics
banku,bank,Technological Sciences > Electrical technology and engineering
banku,bench,Physics > Fluids (physics of)
banku,bank,Economic Sciences > Organization and management of enterprises
bao,bay,Technological Sciences > Mechanical engineering and technology
bao,hop,Technological Sciences > Telecommunications technology
baraila,clamp; jaw,Technological Sciences > Mechanical engineering and technology
baraila,mandible,Life sciences > Animal Biology
barne-biderketa,inner product,Physics > General Physics specialities
barne-biderketa,scalar multiplication,Mathematics > Analysis and functional analysis
barne-diametro,inner diameter,Technological Sciences > Environmental technology and engineering
barne-diametro,interior diameter,Technological Sciences > Mechanical engineering and technology
barne-diametro,inside diameter; interior diameter,Physics > Fluids (physics of)
barne-diametro,internal diameter,Chemistry > Analytical chemistry
barne-geruza,inner shell,Physics > General Physics specialities
barne-geruza,inner layer,Technological Sciences > Environmental technology and engineering
barne-lotura,internal bonding,Technological Sciences > Construction technology
barne-lotura,internal constrain,Physics > Thermodynamics
barreiadura,difusion,Life sciences > Human physiology
barreiadura,dispersion; scattering,Physics > Electro-magnetism
barreiadura,spread,Mathematics > Statistics
barreiadura,dispersion,Technological Sciences > Environmental technology and engineering
barruti,domain,Technological Sciences > Computer technology
barruti,range,Technological Sciences > Telecommunications technology
basopresina,antidiuretic hormone; vasopressin,Life sciences > Animal Biology
basopresina,vasopresin,Life sciences > Biochemistry and Molecular Biology
batezbesteko,average,Technological Sciences > Construction technology
batezbesteko,mean,Economic Sciences > Econometrics
batezbesteko,average; mean,Mathematics > Analysis and functional analysis
batezbesteko,average; mean,Technological Sciences > Environmental technology and engineering
batezbesteko,mean,Mathematics > Statistics
batezbesteko,mean,Physics > Thermodynamics
batezbesteko,average; mean,Physics > Aplied Physics
batezbesteko,average,Physics > Electro-magnetism
batezbesteko,mean; mean value,Technological Sciences > Telecommunications technology
batezbesteko aritmetiko,arithmetic average,Physics > Electro-magnetism
batezbesteko aritmetiko,arithmetic mean,Medical Sciences > Pharmaceutical Technology
batezbesteko aritmetiko,arithmetic mean,Life sciences > Biochemistry and Molecular Biology
batezbesteko aritmetiko,arithmetic mean,Mathematics > Statistics
batezbesteko aritmetiko,arithmetic mean,Mathematics > Analysis and functional analysis
batezbesteko geometriko,geometric average,Physics > Electro-magnetism
batezbesteko geometriko,geometric mean,Mathematics > Statistics
batezbesteko koadratiko,quadratic mean,Economic Sciences > Econometrics
batezbesteko koadratiko,mean square value,Technological Sciences > Telecommunications technology
batezbesteko koadratiko,effective value; RMS; root mean square,Technological Sciences > Electronic technology
batugai,addend; summand,Mathematics > Analysis and functional analysis
batugai,summand,Physics > Electro-magnetism
batugai,addend,Mathematics > Algebra
batura bektorial,vector sum,Technological Sciences > Construction technology
batura bektorial,sum of phasors,Technological Sciences > Electrical technology and engineering
batura bektorial,vector sum,Physics > Aplied Physics
behaketa-ikerketa,observational study,Medical Sciences > Public health
behaketa-ikerketa,observational research,Medical Sciences > Pharmacology
behazun,bile,Life sciences > Human physiology
behazun,bile,Medical Sciences > Pharmacology
behazun,gallbladder,Medical Sciences > Medical diagnostic and Treatment Technology
beheko bero-ahalmen,low heating power,Technological Sciences > Environmental technology and engineering
beheko bero-ahalmen,low calorific value; lower heating value,Technological Sciences > Chemical technology and engineering
beira,glass,Medical Sciences > Pharmaceutical Technology
beira,crystal,Technological Sciences > Environmental technology and engineering
bektore-sistema,system of vectors,Technological Sciences > Construction technology
bektore-sistema,vector system,Mathematics > Analysis and functional analysis
berdintasun,equality; equation; identity,Mathematics > Analysis and functional analysis
berdintasun,equality,Mathematics > Statistics
